name,company,trade_date,signal_b_s,triggered_price,executed_price,ltp,quantity,status,isin,reason,return
NIFTY 25950 CE,NIFTY OPTIONS,2025-12-31 10:28,BUY,167.7,167.7,193.7,525,Close,NSE_FO|40461,BUY_CALL,0.0
NIFTY 25950 CE,NIFTY OPTIONS,2025-12-31 10:41,SELL,193.7,193.7,193.7,525,Close,NSE_FO|40461,TARGET_HIT,13650.0
NIFTY 25900 CE,NIFTY OPTIONS,2026-01-02 09:34,BUY,337.5,337.5,360.9,225,Close,NSE_FO|40459,BUY_CALL,0.0
NIFTY 25900 CE,NIFTY OPTIONS,2026-01-02 09:42,SELL,360.9,360.9,360.9,225,Close,NSE_FO|40459,TARGET_HIT,5264.9999999999945
NIFTY 25800 CE,NIFTY OPTIONS,2026-01-02 09:42,BUY,456.75,456.75,482.45,150,Close,NSE_FO|40455,BUY_CALL,0.0
NIFTY 25800 CE,NIFTY OPTIONS,2026-01-02 09:53,SELL,482.45,482.45,482.45,150,Close,NSE_FO|40455,TARGET_HIT,3854.999999999998
NIFTY 26500 PE,NIFTY OPTIONS,2026-01-05 09:26,BUY,192.7,192.7,217.35,450,Close,NSE_FO|40496,BUY_PUT,0.0
NIFTY 26500 PE,NIFTY OPTIONS,2026-01-05 09:32,SELL,217.35,217.35,217.35,450,Close,NSE_FO|40496,TARGET_HIT,11092.5
NIFTY 26450 PE,NIFTY OPTIONS,2026-01-05 10:31,BUY,112.8,112.8,141.15,825,Close,NSE_FO|40490,BUY_PUT,0.0
NIFTY 26450 PE,NIFTY OPTIONS,2026-01-05 11:23,SELL,141.15,141.15,141.15,825,Close,NSE_FO|40490,TARGET_HIT,23388.75
NIFTY 26250 PE,NIFTY OPTIONS,2026-01-06 09:22,BUY,68.45,68.45,89.35,1425,Close,NSE_FO|40480,BUY_PUT,0.0
NIFTY 26250 PE,NIFTY OPTIONS,2026-01-06 09:29,SELL,89.35,89.35,89.35,1425,Close,NSE_FO|40480,TARGET_HIT,29782.499999999985
NIFTY 25750 CE,NIFTY OPTIONS,2026-01-06 09:29,BUY,426.75,426.75,468.05,225,Close,NSE_FO|40453,BUY_CALL,0.0
NIFTY 25750 CE,NIFTY OPTIONS,2026-01-06 09:34,SELL,468.05,468.05,468.05,225,Close,NSE_FO|40453,TARGET_HIT,9292.500000000004
NIFTY 26150 PE,NIFTY OPTIONS,2026-01-07 09:31,BUY,103.8,103.8,93.95,900,Close,NSE_FO|46192,BUY_PUT,0.0
NIFTY 26150 PE,NIFTY OPTIONS,2026-01-07 15:00,SELL,93.95,93.95,93.95,900,Close,NSE_FO|46192,EOD,-8864.999999999995
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-08 09:29,BUY,92.8,92.8,115.35,1050,Close,NSE_FO|46184,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-08 10:21,SELL,115.35,115.35,115.35,1050,Close,NSE_FO|46184,TARGET_HIT,23677.5
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-08 10:21,BUY,115.35,115.35,139.25,825,Close,NSE_FO|46184,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-08 11:19,SELL,139.25,139.25,139.25,825,Close,NSE_FO|46184,TARGET_HIT,19717.500000000004
NIFTY 25750 CE,NIFTY OPTIONS,2026-01-09 09:19,BUY,230.65,230.65,128.35,375,Close,NSE_FO|46163,BUY_CALL,0.0
NIFTY 25750 CE,NIFTY OPTIONS,2026-01-09 11:35,SELL,128.35,128.35,128.35,375,Close,NSE_FO|46163,STOP_LOSS,-38362.50000000001
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-09 11:35,BUY,295.05,295.05,318.15,300,Close,NSE_FO|46184,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-09 11:44,SELL,318.15,318.15,318.15,300,Close,NSE_FO|46184,TARGET_HIT,6929.99999999999
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-12 09:16,BUY,543.4,543.4,572.9,150,Close,NSE_FO|46194,BUY_PUT,0.0
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-12 09:20,SELL,572.9,572.9,572.9,150,Close,NSE_FO|46194,TARGET_HIT,4425.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-12 09:20,BUY,471.9,471.9,494.3,150,Close,NSE_FO|46184,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-12 09:21,SELL,494.3,494.3,494.3,150,Close,NSE_FO|46184,TARGET_HIT,3360.000000000005
NIFTY 26250 PE,NIFTY OPTIONS,2026-01-12 10:31,BUY,656.0,656.0,676.15,150,Close,NSE_FO|46197,BUY_PUT,0.0
NIFTY 26250 PE,NIFTY OPTIONS,2026-01-12 10:42,SELL,676.15,676.15,676.15,150,Close,NSE_FO|46197,TARGET_HIT,3022.4999999999964
NIFTY 26350 PE,NIFTY OPTIONS,2026-01-12 11:50,BUY,846.35,846.35,845.45,75,Close,NSE_FO|46202,BUY_PUT,0.0
NIFTY 26350 PE,NIFTY OPTIONS,2026-01-12 11:59,SELL,845.45,845.45,845.45,75,Close,NSE_FO|46202,SIGNAL_REVERSED,-67.4999999999983
NIFTY 25600 CE,NIFTY OPTIONS,2026-01-13 09:17,BUY,254.85,254.85,147.85,375,Close,NSE_FO|NIFTY,BUY_CALL,0.0
NIFTY 25600 CE,NIFTY OPTIONS,2026-01-13 09:42,SELL,147.85,147.85,147.85,375,Close,NSE_FO|NIFTY,STOP_LOSS,-40125.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-13 09:42,BUY,380.6,380.6,401.45,225,Close,NSE_FO|NIFTY,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-13 09:57,SELL,401.45,401.45,401.45,225,Close,NSE_FO|NIFTY,TARGET_HIT,4691.25
NIFTY 25550 CE,NIFTY OPTIONS,2026-01-13 09:16,BUY,305.6,305.6,300.65,300,Close,NSE_FO|NIFTY,BUY_CALL,0.0
NIFTY 25550 CE,NIFTY OPTIONS,2026-01-13 09:18,SELL,300.65,300.65,300.65,300,Close,NSE_FO|NIFTY,SIGNAL_REVERSED,-1485.0
NIFTY 26500 PE,NIFTY OPTIONS,2026-01-13 09:19,BUY,662.0,662.0,709.9,150,Close,NSE_FO|NIFTY,BUY_PUT,0.0
NIFTY 26500 PE,NIFTY OPTIONS,2026-01-13 09:27,SELL,709.9,709.9,709.9,150,Close,NSE_FO|NIFTY,TARGET_HIT,7185.0
NIFTY 26150 PE,NIFTY OPTIONS,2026-01-14 09:22,BUY,421.5,421.5,442.0,225,Close,NSE_FO|47632,BUY_PUT,0.0
NIFTY 26150 PE,NIFTY OPTIONS,2026-01-14 09:44,SELL,442.0,442.0,442.0,225,Close,NSE_FO|47632,TARGET_HIT,4612.5
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-14 09:49,BUY,409.35,409.35,432.0,225,Close,NSE_FO|47630,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-14 10:24,SELL,432.0,432.0,432.0,225,Close,NSE_FO|47630,TARGET_HIT,5096.2499999999945
NIFTY 26300 PE,NIFTY OPTIONS,2026-01-14 09:22,BUY,552.05,552.05,572.25,150,Close,NSE_FO|47666,BUY_PUT,0.0
NIFTY 26300 PE,NIFTY OPTIONS,2026-01-14 09:23,SELL,572.25,572.25,572.25,150,Close,NSE_FO|47666,TARGET_HIT,3030.000000000007
NIFTY 25500 CE,NIFTY OPTIONS,2026-01-14 09:25,BUY,299.9,299.9,298.75,300,Close,NSE_FO|47599,BUY_CALL,0.0
NIFTY 25500 CE,NIFTY OPTIONS,2026-01-14 09:26,SELL,298.75,298.75,298.75,300,Close,NSE_FO|47599,SIGNAL_REVERSED,-344.9999999999932
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-19 09:22,BUY,487.6,487.6,510.0,150,Close,NSE_FO|47628,BUY_PUT,0.0
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-19 09:30,SELL,510.0,510.0,510.0,150,Close,NSE_FO|47628,TARGET_HIT,3359.9999999999964
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-19 09:30,BUY,510.0,510.0,538.15,150,Close,NSE_FO|47628,BUY_PUT,0.0
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-19 10:01,SELL,538.15,538.15,538.15,150,Close,NSE_FO|47628,TARGET_HIT,4222.499999999996
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-19 09:16,BUY,529.7,529.7,522.05,150,Close,NSE_FO|47630,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-19 09:17,SELL,522.05,522.05,522.05,150,Close,NSE_FO|47630,SIGNAL_REVERSED,-1147.5000000000136
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-19 09:22,BUY,535.75,535.75,531.5,150,Close,NSE_FO|47630,BUY_PUT,0.0
NIFTY 26100 PE,NIFTY OPTIONS,2026-01-19 09:23,SELL,531.5,531.5,531.5,150,Close,NSE_FO|47630,SIGNAL_REVERSED,-637.5
NIFTY 26300 PE,NIFTY OPTIONS,2026-01-20 09:16,BUY,732.65,732.65,727.85,75,Close,NSE_FO|47666,BUY_PUT,0.0
NIFTY 26300 PE,NIFTY OPTIONS,2026-01-20 09:17,SELL,727.85,727.85,727.85,75,Close,NSE_FO|47666,SIGNAL_REVERSED,-359.9999999999966
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-20 09:19,BUY,639.3,639.3,663.75,150,Close,NSE_FO|47656,BUY_PUT,0.0
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-20 09:20,SELL,663.75,663.75,663.75,150,Close,NSE_FO|47656,TARGET_HIT,3667.500000000007
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-20 09:20,BUY,650.0,650.0,680.3,150,Close,NSE_FO|47656,BUY_PUT,0.0
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-20 09:23,SELL,680.3,680.3,680.3,150,Close,NSE_FO|47656,TARGET_HIT,4544.999999999993
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-20 09:23,BUY,528.9,528.9,557.9,150,Close,NSE_FO|47628,BUY_PUT,0.0
NIFTY 26050 PE,NIFTY OPTIONS,2026-01-20 09:28,SELL,557.9,557.9,557.9,150,Close,NSE_FO|47628,TARGET_HIT,4350.0
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-21 09:19,BUY,880.7,880.7,919.2,75,Close,NSE_FO|58810,BUY_PUT,0.0
NIFTY 26200 PE,NIFTY OPTIONS,2026-01-21 09:20,SELL,919.2,919.2,919.2,75,Close,NSE_FO|58810,TARGET_HIT,2887.5
NIFTY 26000 PE,NIFTY OPTIONS,2026-01-21 09:22,BUY,739.85,739.85,715.1,75,Close,NSE_FO|58802,BUY_PUT,0.0
NIFTY 26000 PE,NIFTY OPTIONS,2026-01-21 09:23,SELL,715.1,715.1,715.1,75,Close,NSE_FO|58802,SIGNAL_REVERSED,-1856.25
NIFTY 25600 CE,NIFTY OPTIONS,2026-01-22 09:16,BUY,40.35,40.35,63.85,2475,Close,NSE_FO|58725,BUY_CALL,0.0
NIFTY 25600 CE,NIFTY OPTIONS,2026-01-22 09:31,SELL,63.85,63.85,63.85,2475,Close,NSE_FO|58725,TARGET_HIT,58162.5
NIFTY 25850 PE,NIFTY OPTIONS,2026-01-22 09:31,BUY,444.0,444.0,466.2,225,Close,NSE_FO|58796,BUY_PUT,0.0
NIFTY 25850 PE,NIFTY OPTIONS,2026-01-22 10:02,SELL,466.2,466.2,466.2,225,Close,NSE_FO|58796,TARGET_HIT,4994.999999999997
NIFTY 25700 CE,NIFTY OPTIONS,2026-01-22 09:16,BUY,27.55,27.55,50.4,3600,Close,NSE_FO|58751,BUY_CALL,0.0
NIFTY 25700 CE,NIFTY OPTIONS,2026-01-22 09:36,SELL,50.4,50.4,50.4,3600,Close,NSE_FO|58751,TARGET_HIT,82259.99999999999
NIFTY 25800 CE,NIFTY OPTIONS,2026-01-22 09:36,BUY,33.5,33.5,28.2,2925,Close,NSE_FO|58790,BUY_CALL,0.0
NIFTY 25800 CE,NIFTY OPTIONS,2026-01-22 09:56,SELL,28.2,28.2,28.2,2925,Close,NSE_FO|58790,STOP_LOSS,-15502.500000000002
NIFTY 25900 PE,NIFTY OPTIONS,2026-01-27 09:16,BUY,786.3,786.3,862.6,75,Close,NSE_FO|58798,BUY_PUT,0.0
NIFTY 25900 PE,NIFTY OPTIONS,2026-01-27 09:17,SELL,862.6,862.6,862.6,75,Close,NSE_FO|58798,TARGET_HIT,5722.5000000000055
NIFTY 25900 PE,NIFTY OPTIONS,2026-01-27 09:19,BUY,856.45,856.45,909.0,75,Close,NSE_FO|58798,BUY_PUT,0.0
NIFTY 25900 PE,NIFTY OPTIONS,2026-01-27 09:20,SELL,909.0,909.0,909.0,75,Close,NSE_FO|58798,TARGET_HIT,3941.249999999997
NIFTY 25800 PE,NIFTY OPTIONS,2026-01-29 09:22,BUY,559.0,559.0,541.0,150,Close,NSE_FO|49839,BUY_PUT,0.0
NIFTY 25800 PE,NIFTY OPTIONS,2026-01-29 09:23,SELL,541.0,541.0,541.0,150,Close,NSE_FO|49839,SIGNAL_REVERSED,-2700.0
NIFTY 25800 PE,NIFTY OPTIONS,2026-01-29 09:46,BUY,599.4,599.4,591.0,150,Close,NSE_FO|49839,BUY_PUT,0.0
NIFTY 25800 PE,NIFTY OPTIONS,2026-01-29 09:47,SELL,591.0,591.0,591.0,150,Close,NSE_FO|49839,SIGNAL_REVERSED,-1259.9999999999966
