entry_time,signal_type,direction,nifty_ref_spot,instrument,entry_price,qty,capital_used,status,exit_time,exit_price,total_pnl,pnl_pct,exit_reason
2026-04-01 10:01:02,BULLISH,BUY,22904.15,NIFTYBEES,259.72,385,99992.20,CLOSED,2026-04-01 10:02:28,259.84,46.20,0.05,TARGET_HIT
2026-04-01 10:07:01,BULLISH,BUY,22912.50,NIFTYBEES,259.74,3850,999999.00,CLOSED,2026-04-01 10:11:49,259.45,-1116.50,-0.11,STOP_LOSS
2026-04-01 10:22:10,BEARISH,SELL,22853.70,NIFTYBEES,259.18,3858,999916.44,CLOSED,2026-04-01 10:23:31,259.01,655.86,0.07,TARGET_HIT
2026-04-01 10:34:11,BEARISH,SELL,22798.10,NIFTYBEES,258.56,3867,999851.52,CLOSED,2026-04-01 10:55:41,258.34,850.74,0.09,TARGET_HIT
2026-04-01 11:07:17,BEARISH,SELL,22759.80,NIFTYBEES,258.05,3875,999943.75,CLOSED,2026-04-01 11:27:56,258.45,-1550.00,-0.16,STOP_LOSS
2026-04-01 11:46:29,BULLISH,BUY,22786.05,NIFTYBEES,258.37,3870,999891.90,CLOSED,2026-04-01 11:48:17,258.01,-1393.20,-0.14,STOP_LOSS
2026-04-01 11:58:33,BEARISH,SELL,22775.60,NIFTYBEES,258.27,3871,999763.17,CLOSED,2026-04-01 12:02:40,258.68,-1587.11,-0.16,STOP_LOSS
2026-04-01 12:16:45,BULLISH,BUY,22856.10,NIFTYBEES,258.96,3861,999844.56,CLOSED,2026-04-01 12:28:23,258.84,-463.32,-0.05,STOP_LOSS
2026-04-01 13:20:04,BULLISH,BUY,22842.00,NIFTYBEES,259.14,3858,999762.12,CLOSED,2026-04-01 13:23:23,258.60,-2083.32,-0.21,STOP_LOSS
2026-04-01 13:34:59,BEARISH,SELL,22776.50,NIFTYBEES,258.47,3868,999761.96,CLOSED,2026-04-01 13:36:14,258.28,734.92,0.07,TARGET_HIT
2026-04-01 13:47:03,BEARISH,SELL,22690.65,NIFTYBEES,258.02,3875,999827.50,CLOSED,2026-04-01 13:57:36,258.35,-1278.75,-0.13,STOP_LOSS
2026-04-01 14:11:15,BULLISH,BUY,22731.15,NIFTYBEES,258.48,3868,999800.64,CLOSED,2026-04-01 14:14:29,258.55,270.76,0.03,TARGET_HIT
2026-04-01 14:29:15,BULLISH,BUY,22732.40,NIFTYBEES,259.04,3860,999894.40,CLOSED,2026-04-01 14:36:41,259.17,501.80,0.05,STOP_LOSS
2026-04-01 14:59:28,BULLISH,BUY,22649.45,NIFTYBEES,258.24,3872,999905.28,CLOSED,2026-04-01 15:00:09,258.30,232.32,0.02,TARGET_HIT
