entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-02-25 09:16:34.010,BULLISH,25537.65,82600,82300,CE,561.65,606.58,477.40,20,8,89864.0,BSE_FO|1161837,CLOSED,2026-02-25 09:20:36.871,619.50,57.85,9256.00,10.30,4,TARGET_HIT,v1
2026-02-25 09:20:37.212,BULLISH,25568.35,82700,82400,CE,543.60,587.09,462.06,20,9,97848.0,BSE_FO|1161837,CLOSED,2026-02-25 09:27:44.199,592.50,48.90,8802.00,9.00,7,TARGET_HIT,v1
2026-02-25 09:27:44.767,BULLISH,25592.50,82800,82500,CE,518.80,560.30,440.98,20,9,93384.0,BSE_FO|1161837,CLOSED,2026-02-25 09:35:44.700,440.98,-77.82,-14007.60,-15.00,8,STOP_LOSS,v1
2026-02-25 09:35:51,BULLISH,25580.15,82700,82400,CE,488.40,527.47,415.14,20,10,97680.0,BSE_FO|1161837,CLOSED,2026-02-25 09:58:11.706,555.20,66.80,13360.00,13.70,22,TARGET_HIT,v1
2026-02-25 09:58:12.208,BULLISH,25590,82800,82500,CE,505.55,546.00,429.72,20,9,90999.0,BSE_FO|1161837,CLOSED,2026-02-25 10:13:25.464,557.05,51.50,9270.00,10.19,15,TARGET_HIT,v1
2026-02-25 10:13:25.852,BULLISH,25600,82900,82600,CE,481.90,520.45,409.62,20,10,96380.0,BSE_FO|1161837,CLOSED,2026-02-25 10:17:30.900,541.10,59.20,11840.00,12.28,4,TARGET_HIT,v1
2026-02-25 10:17:31.363,BULLISH,25610,82900,82600,CE,541.10,584.39,459.94,20,9,97398.0,BSE_FO|1161837,CLOSED,2026-02-25 10:38:49.884,449.25,-91.85,-16533.0,-16.96,21,STOP_LOSS,v1
2026-02-25 10:38:50.240,BULLISH,25600,82800,82500,CE,523.20,565.06,444.72,20,9,94176.0,BSE_FO|1161837,CLOSED,2026-02-25 11:22:31.710,444.25,-78.95,-14211.0,-15.11,43,STOP_LOSS,v1
2026-02-25 11:22:32.102,BEARISH,25580,82800,83100,PE,373.85,403.76,317.77,20,13,97201.0,BSE_FO|1167885,CLOSED,2026-02-25 11:59:10.862,419.35,45.50,11830.00,12.17,36,TARGET_HIT,v1
2026-02-25 11:59:11.557,BEARISH,25570,82800,83100,PE,419.35,452.90,356.45,20,11,92257.0,BSE_FO|1167885,CLOSED,2026-02-25 12:32:41.664,454.00,34.65,7623.00,8.26,33,TARGET_HIT,v1
2026-02-25 12:32:42.164,BEARISH,25560,82700,83000,PE,385.80,416.66,327.93,20,12,92592.0,BSE_FO|1165641,CLOSED,2026-02-25 12:33:43.019,455.95,70.15,16836.00,18.18,1,TARGET_HIT,v1
2026-02-25 12:38:47.629,BEARISH,25550,82500,82800,PE,403.05,435.30,342.59,20,12,96732.0,BSE_FO|1163018,CLOSED,2026-02-25 12:44:51.791,452.20,49.15,11796.00,12.19,6,TARGET_HIT,v1
2026-02-25 12:44:52.129,BEARISH,25540,82500,82800,PE,452.05,488.21,384.24,20,11,99451.0,BSE_FO|1163018,CLOSED,2026-02-25 12:47:54.297,509.80,57.75,12705.00,12.77,3,TARGET_HIT,v1
2026-02-25 12:47:54.909,BEARISH,25530,82400,82700,PE,444.00,479.52,377.40,20,11,97680.0,BSE_FO|1168165,CLOSED,2026-02-25 13:01:05.571,486.10,42.10,9262.00,9.48,13,TARGET_HIT,v1
2026-02-25 13:01:06.800,BEARISH,25520,82400,82700,PE,485.20,524.02,412.42,20,10,97040.0,BSE_FO|1168165,CLOSED,2026-02-25 13:03:08.309,527.50,42.30,8460.00,8.72,2,TARGET_HIT,v1
2026-02-25 13:03:08.655,BEARISH,25510,82300,82600,PE,460.15,496.96,391.13,20,10,92030.0,BSE_FO|1162536,CLOSED,2026-02-25 13:12:17.736,388.25,-71.90,-14380.0,-15.63,9,STOP_LOSS,v1
