entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-04 09:16:11.470560,BEARISH,24356.45,78500,78800,PE,725.8,783.864,616.93,20,6,87096.0,BSE_FO|841993,CLOSED,2026-03-04 09:43:38.256319,602.2,-123.59999999999991,-14831.999999999989,-17.029484706530713,27,STOP_LOSS,v1
2026-03-04 09:43:38.258716,BEARISH,24407.35,78700,79000,PE,694.2,749.7360000000001,590.07,20,7,97188.0,BSE_FO|842699,CLOSED,2026-03-04 09:47:42.897921,756.1,61.89999999999998,8665.999999999996,8.916738692019587,4,TARGET_HIT,v1
2026-03-04 09:47:42.900360,BULLISH,24365.9,78600,78300,CE,790.4,853.6320000000001,671.8399999999999,20,6,94848.0,BSE_FO|842709,CLOSED,2026-03-04 10:14:12.405063,857.35,66.95000000000005,8034.0000000000055,8.470394736842112,26,TARGET_HIT,v1
2026-03-04 10:14:12.409319,BEARISH,24391.2,78700,79000,PE,700.7,756.7560000000001,595.595,20,7,98098.0,BSE_FO|842699,CLOSED,2026-03-04 11:07:10.512599,585.25,-115.45000000000005,-16163.000000000007,-16.47638076209505,52,STOP_LOSS,v1
2026-03-04 11:07:10.514810,BULLISH,24434.35,78900,78600,CE,773.55,835.434,657.5174999999999,20,6,92826.0,BSE_FO|842573,CLOSED,2026-03-04 11:29:35.385975,644.75,-128.79999999999995,-15455.999999999995,-16.650507400943695,22,STOP_LOSS,v1
2026-03-04 11:29:35.388260,BEARISH,24365.9,78700,79000,PE,706.2,762.6960000000001,600.27,20,7,98868.0,BSE_FO|842699,CLOSED,2026-03-04 12:56:08.935096,589.0,-117.20000000000005,-16408.000000000007,-16.59586519399604,86,STOP_LOSS,v1
2026-03-04 12:56:08.937126,BEARISH,24416.25,78900,79200,PE,691.0,746.2800000000001,587.35,20,7,96740.0,BSE_FO|842334,CLOSED,2026-03-04 14:09:20.304486,579.05,-111.95000000000005,-15673.000000000007,-16.201157742402323,73,STOP_LOSS,v1
2026-03-04 14:09:20.308975,BULLISH,24490.05,79100,78800,CE,786.7,849.6360000000001,668.695,20,6,94404.0,BSE_FO|842616,CLOSED,2026-03-04 14:12:24.037583,850.95,64.25,7710.0,8.16702682089742,3,TARGET_HIT,v1
2026-03-04 14:18:27.675077,BULLISH,24567.9,79400,79100,CE,752.0,812.1600000000001,639.1999999999999,20,6,90240.0,BSE_FO|842353,CLOSED,2026-03-04 14:30:40.157918,626.65,-125.35000000000002,-15042.000000000004,-16.668882978723406,12,STOP_LOSS,v1
2026-03-04 14:35:43.074135,BEARISH,24524.9,79300,79600,PE,738.6,797.6880000000001,627.8100000000001,20,6,88632.0,BSE_FO|842433,CLOSED,2026-03-04 15:07:30.309324,801.95,63.35000000000002,7602.000000000003,8.577037638776066,31,TARGET_HIT,v1
2026-03-04 15:09:32.130636,BEARISH,24476.05,79100,79400,PE,706.95,763.5060000000001,600.9075,20,7,98973.0,BSE_FO|842375,CLOSED,2026-03-04 15:30:57.752878,676.15,-30.800000000000068,-4312.000000000009,-4.356743758398764,21,EOD,v1
