entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-11 09:28:02,BEARISH,24245.35,,78400,PE,564.00,609.12,479.40,20,8,90240.00,,CLOSED,2026-03-11 09:28:36,568.00,4.0,640.00,+0.71,0,TRAILING_SL,v2
2026-03-11 09:34:04,BEARISH,24215.85,,78300,PE,576.00,622.08,489.60,20,8,92160.00,,CLOSED,2026-03-11 09:37:18,624.05,48.05,7688.00,+8.34,3,TARGET_HIT,v2
2026-03-11 09:37:24,BEARISH,24189.50,,78200,PE,562.80,607.82,478.38,20,8,90048.00,,CLOSED,2026-03-11 09:38:03,568.00,5.2,832.00,+0.92,0,TRAILING_SL,v2
2026-03-11 09:40:07,BEARISH,24187.40,,78200,PE,571.00,616.68,485.35,20,8,91360.00,,CLOSED,2026-03-11 09:40:35,576.50,5.5,880.00,+0.96,0,TRAILING_SL,v2
2026-03-11 09:43:11,BEARISH,24184.10,,78200,PE,568.85,614.36,483.52,20,8,91016.00,,CLOSED,2026-03-11 09:43:39,573.40,4.55,728.00,+0.80,0,TRAILING_SL,v2
2026-03-11 10:01:11,BEARISH,24139.55,,78100,PE,593.00,640.44,504.05,20,8,94880.00,,CLOSED,2026-03-11 10:09:42,640.90,47.9,7664.00,+8.08,8,TARGET_HIT,v2
2026-03-11 10:09:48,BEARISH,24121.65,,78000,PE,587.90,634.93,499.71,20,8,94064.00,,CLOSED,2026-03-11 10:10:38,585.65,-2.25,-360.00,-0.38,0,TRAILING_SL,v2
2026-03-11 10:10:44,BEARISH,24123.85,,78000,PE,590.35,637.58,501.80,20,8,94456.00,,CLOSED,2026-03-11 10:12:43,641.85,51.5,8240.00,+8.72,2,TARGET_HIT,v2
2026-03-11 10:13:16,BEARISH,24122.65,,78000,PE,604.20,652.54,513.57,20,8,96672.00,,CLOSED,2026-03-11 10:15:30,609.80,5.6,896.00,+0.93,2,TRAILING_SL,v2
2026-03-11 10:16:17,BEARISH,24115.45,,78000,PE,615.05,664.25,522.79,20,8,98408.00,,CLOSED,2026-03-11 10:35:57,668.95,53.9,8624.00,+8.76,19,TARGET_HIT,v2
2026-03-11 10:36:03,BEARISH,24096.45,,77900,PE,620.05,669.65,527.04,20,8,99208.00,,CLOSED,2026-03-11 10:46:35,672.20,52.15,8344.00,+8.41,10,TARGET_HIT,v2
2026-03-11 10:46:41,BEARISH,24053.00,,77800,PE,634.50,685.26,539.32,20,7,88830.00,,CLOSED,2026-03-11 10:58:54,539.10,-95.4,-13356.00,-15.04,12,STOP_LOSS,v2
2026-03-11 11:13:37,BEARISH,24073.25,,77800,PE,585.00,631.80,497.25,20,8,93600.00,,CLOSED,2026-03-11 11:16:37,637.30,52.3,8368.00,+8.94,3,TARGET_HIT,v2
2026-03-11 11:16:44,BEARISH,24050.15,,77700,PE,588.85,635.96,500.52,20,8,94216.00,,CLOSED,2026-03-11 11:20:16,638.55,49.7,7952.00,+8.44,3,TARGET_HIT,v2
2026-03-11 11:20:22,BEARISH,24029.95,,77700,PE,636.35,687.26,540.90,20,7,89089.00,,CLOSED,2026-03-11 11:24:36,690.25,53.9,7546.00,+8.47,4,TARGET_HIT,v2
2026-03-11 11:24:42,BEARISH,24013.75,,77600,PE,644.45,696.01,547.78,20,7,90223.00,,CLOSED,2026-03-11 11:35:48,704.80,60.35,8449.00,+9.36,11,TARGET_HIT,v2
2026-03-11 11:35:54,BEARISH,23992.20,,77500,PE,659.35,712.10,560.45,20,7,92309.00,,CLOSED,2026-03-11 11:53:17,657.50,-1.85,-259.00,-0.28,17,TRAILING_SL,v2
2026-03-11 11:53:23,BEARISH,23982.80,,77500,PE,663.40,716.47,563.89,20,7,92876.00,,CLOSED,2026-03-11 11:57:26,669.10,5.7,798.00,+0.86,4,TRAILING_SL,v2
2026-03-11 11:57:31,BEARISH,23982.40,,77500,PE,669.00,722.52,568.65,20,7,93660.00,,CLOSED,2026-03-11 11:59:41,674.00,5.0,700.00,+0.75,2,TRAILING_SL,v2
2026-03-11 11:59:47,BEARISH,23983.85,,77500,PE,664.40,717.55,564.74,20,7,93016.00,,CLOSED,2026-03-11 12:30:49,564.65,-99.75,-13965.00,-15.01,31,STOP_LOSS,v2
2026-03-11 12:41:02,BEARISH,23977.40,,77500,PE,645.30,696.92,548.50,20,7,90342.00,,CLOSED,2026-03-11 13:00:48,620.00,-25.3,-3542.00,-3.92,19,TRAILING_SL,v2
2026-03-11 13:00:54,BEARISH,23985.25,,77500,PE,624.95,674.95,531.21,20,8,99992.00,,CLOSED,2026-03-11 13:03:03,678.55,53.6,8576.00,+8.58,2,TARGET_HIT,v2
2026-03-11 13:05:07,BEARISH,23962.85,,77500,PE,672.65,726.46,571.75,20,7,94171.00,,CLOSED,2026-03-11 13:11:39,737.30,64.65,9051.00,+9.61,6,TARGET_HIT,v2
2026-03-11 13:11:45,BEARISH,23941.75,,77400,PE,670.60,724.25,570.01,20,7,93884.00,,CLOSED,2026-03-11 13:13:39,677.05,6.45,903.00,+0.96,1,TRAILING_SL,v2
2026-03-11 13:14:07,BEARISH,23924.15,,77400,PE,701.90,758.05,596.62,20,7,98266.00,,CLOSED,2026-03-11 13:18:19,693.55,-8.35,-1169.00,-1.19,4,TRAILING_SL,v2
2026-03-11 13:18:25,BEARISH,23929.95,,77400,PE,685.20,740.02,582.42,20,7,95928.00,,CLOSED,2026-03-11 13:30:12,574.95,-110.25,-15435.00,-16.09,11,STOP_LOSS,v2
2026-03-11 13:44:15,BEARISH,23965.90,,77500,PE,695.10,750.71,590.84,20,7,97314.00,,CLOSED,2026-03-11 13:48:38,699.75,4.65,651.00,+0.67,4,TRAILING_SL,v2
2026-03-11 13:59:24,BEARISH,23956.50,,77400,PE,623.70,673.60,530.14,20,8,99792.00,,CLOSED,2026-03-11 14:00:49,626.05,2.35,376.00,+0.38,1,TRAILING_SL,v2
2026-03-11 14:02:24,BEARISH,23942.90,,77400,PE,653.85,706.16,555.77,20,7,91539.00,,CLOSED,2026-03-11 14:10:33,655.70,1.85,259.00,+0.28,8,TRAILING_SL,v2
2026-03-11 14:11:24,BEARISH,23937.60,,77400,PE,662.40,715.39,563.04,20,7,92736.00,,CLOSED,2026-03-11 14:18:58,715.55,53.15,7441.00,+8.02,7,TARGET_HIT,v2
2026-03-11 14:19:05,BEARISH,23907.70,,77300,PE,659.10,711.83,560.24,20,7,92274.00,,CLOSED,2026-03-11 14:27:42,658.75,-0.35,-49.00,-0.05,8,TRAILING_SL,v2
2026-03-11 14:27:48,BEARISH,23917.30,,77300,PE,627.60,677.81,533.46,20,7,87864.00,,CLOSED,2026-03-11 14:29:12,532.00,-95.6,-13384.00,-15.23,1,STOP_LOSS,v2
2026-03-11 14:29:34,BEARISH,23964.25,,77500,PE,675.05,729.05,573.79,20,7,94507.00,,CLOSED,2026-03-11 14:31:28,729.75,54.7,7658.00,+8.10,1,TARGET_HIT,v2
2026-03-11 14:38:35,BEARISH,23924.55,,77300,PE,618.35,667.82,525.60,20,8,98936.00,,CLOSED,2026-03-11 14:44:41,623.90,5.55,888.00,+0.90,6,TRAILING_SL,v2
2026-03-11 15:02:42,BEARISH,23907.05,,77300,PE,634.25,684.99,539.11,20,7,88795.00,,CLOSED,2026-03-11 15:07:17,690.65,56.4,7896.00,+8.89,4,TARGET_HIT,v2
