entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-02-20 09:16:00.000000,BEARISH,82506.06,82500,82800,PE,633.0,683.64,639.33,538.05,True,20,7,88620.0,BSE_FO|1163018,CLOSED,2026-02-20 09:17:00.000000,639.33,6.33,886.2,1.0,1,TRAILING_SL,v4
2026-02-20 09:18:00.000000,BEARISH,82400.53,82400,82700,PE,658.5,711.18,559.725,559.725,False,20,7,92190.0,BSE_FO|1168165,CLOSED,2026-02-20 09:21:00.000000,559.725,-98.775,-13828.5,-15.0,3,STOP_LOSS,v4
2026-02-20 09:21:00.000000,BEARISH,82500.29,82500,82800,PE,630.0,680.4,636.3,535.5,True,20,7,88200.0,BSE_FO|1163018,CLOSED,2026-02-20 09:23:00.000000,636.3,6.3,882.0,1.0,2,TRAILING_SL,v4
2026-02-20 09:27:00.000000,BEARISH,82350.79,82400,82700,PE,651.35,703.458,657.8635,553.6475,True,20,7,91189.0,BSE_FO|1168165,CLOSED,2026-02-20 09:28:00.000000,657.8635,6.5135000000000005,911.89,1.0,1,TRAILING_SL,v4
2026-02-20 09:29:00.000000,BEARISH,82227.83,82200,82500,PE,649.9,701.892,552.415,552.415,False,20,7,90986.0,BSE_FO|1164433,CLOSED,2026-02-20 09:30:00.000000,552.415,-97.485,-13647.9,-15.0,1,STOP_LOSS,v4
2026-02-20 09:37:00.000000,BULLISH,82512.11,82500,82200,CE,758.3,818.964,765.883,644.555,True,20,6,90996.0,BSE_FO|1164232,CLOSED,2026-02-20 09:43:00.000000,765.883,7.583,909.96,1.0,6,TRAILING_SL,v4
2026-02-20 09:43:00.000000,BULLISH,82517.07,82500,82200,CE,779.75,842.13,787.5475,662.7875,True,20,6,93570.0,BSE_FO|1164232,CLOSED,2026-02-20 09:47:00.000000,787.5475,7.797499999999999,935.7,1.0,4,TRAILING_SL,v4
2026-02-20 09:54:00.000000,BULLISH,82601.34,82600,82300,CE,787.25,850.23,795.1225,669.1625,True,20,6,94470.0,BSE_FO|1162319,CLOSED,2026-02-20 09:56:00.000000,795.1225,7.8725,944.7,1.0,2,TRAILING_SL,v4
2026-02-20 09:56:00.000000,BULLISH,82656.39,82700,82400,CE,760.45,821.286,646.3825,646.3825,False,20,6,91254.0,BSE_FO|1167982,CLOSED,2026-02-20 10:02:00.000000,737.1,-23.35,-2802.0,-3.07,6,TIME_EXIT,v4
2026-02-20 10:02:00.000000,BULLISH,82612.23,82600,82300,CE,802.15,866.322,681.8275,681.8275,False,20,6,96258.0,BSE_FO|1162319,CLOSED,2026-02-20 10:08:00.000000,732.8,-69.35,-8322.0,-8.65,6,TIME_EXIT,v4
2026-02-20 10:18:00.000000,BULLISH,82729.58,82700,82400,CE,805.7,870.156,813.757,684.845,True,20,6,96684.0,BSE_FO|1167982,CLOSED,2026-02-20 10:22:00.000000,813.757,8.056999999999999,966.84,1.0,4,TRAILING_SL,v4
2026-02-20 10:26:00.000000,BULLISH,82828.61,82800,82500,CE,815.4,880.632,823.554,693.0899999999999,True,20,6,97848.0,BSE_FO|1162812,CLOSED,2026-02-20 10:30:00.000000,823.554,8.154,978.48,1.0,4,TRAILING_SL,v4
2026-02-20 10:31:00.000000,BULLISH,82833.79,82800,82500,CE,834.45,901.206,842.7945,709.2825,True,20,5,83445.0,BSE_FO|1162812,CLOSED,2026-02-20 10:32:00.000000,842.7945,8.3445,834.45,1.0,1,TRAILING_SL,v4
2026-02-20 10:34:00.000000,BULLISH,82833.62,82800,82500,CE,848.85,916.758,857.3385,721.5225,True,20,5,84885.0,BSE_FO|1162812,CLOSED,2026-02-20 10:39:00.000000,857.3385,8.4885,848.85,1.0,5,TRAILING_SL,v4
2026-02-20 10:48:00.000000,BULLISH,82890.95,82900,82600,CE,817.55,882.954,694.9175,694.9174999999999,False,20,6,98106.0,BSE_FO|1168433,CLOSED,2026-02-20 10:54:00.000000,800.7,-16.85,-2022.0,-2.06,6,TIME_EXIT,v4
2026-02-20 11:04:00.000000,BULLISH,82841.76,82800,82500,CE,847.7,915.516,720.545,720.5450000000001,False,20,5,84770.0,BSE_FO|1162812,CLOSED,2026-02-20 11:10:00.000000,823.25,-24.45,-2445.0,-2.88,6,TIME_EXIT,v4
2026-02-20 11:31:00.000000,BULLISH,82910.33,82900,82600,CE,816.4,881.712,693.94,693.9399999999999,False,20,6,97968.0,BSE_FO|1168433,CLOSED,2026-02-20 11:37:00.000000,812.35,-4.05,-486.0,-0.5,6,TIME_EXIT,v4
2026-02-20 11:50:00.000000,BEARISH,82874.83,82900,83200,PE,665.95,719.226,672.6095,566.0575,True,20,7,93233.0,BSE_FO|1166082,CLOSED,2026-02-20 11:54:00.000000,672.6095,6.6594999999999995,932.33,1.0,4,TRAILING_SL,v4
2026-02-20 11:58:00.000000,BULLISH,82946.21,82900,82600,CE,824.2,890.136,700.57,700.57,False,20,6,98904.0,BSE_FO|1168433,CLOSED,2026-02-20 12:04:00.000000,784.2,-40.0,-4800.0,-4.85,6,TIME_EXIT,v4
2026-02-20 12:17:00.000000,BULLISH,83005.1,83000,82700,CE,797.5,861.3,805.475,677.875,True,20,6,95700.0,BSE_FO|1163297,CLOSED,2026-02-20 12:18:00.000000,805.475,7.975,957.0,1.0,1,TRAILING_SL,v4
2026-02-20 12:22:00.000000,BULLISH,83080.03,83100,82800,CE,803.5,867.78,811.535,682.975,True,20,6,96420.0,BSE_FO|1168901,CLOSED,2026-02-20 12:26:00.000000,811.535,8.035,964.2,1.0,4,TRAILING_SL,v4
2026-02-20 12:30:00.000000,BULLISH,83096.2,83100,82800,CE,811.4,876.312,689.69,689.6899999999999,False,20,6,97368.0,BSE_FO|1168901,CLOSED,2026-02-20 12:36:00.000000,776.45,-34.95,-4194.0,-4.31,6,TIME_EXIT,v4
2026-02-20 12:57:00.000000,BEARISH,82858.15,82900,83200,PE,674.0,727.92,572.9,572.9,False,20,7,94360.0,BSE_FO|1166082,CLOSED,2026-02-20 13:03:00.000000,682.65,8.65,1211.0,1.28,6,TIME_EXIT,v4
2026-02-20 13:11:00.000000,BEARISH,82730.33,82700,83000,PE,667.2,720.576,673.872,567.12,True,20,7,93408.0,BSE_FO|1165641,CLOSED,2026-02-20 13:12:00.000000,673.872,6.672,934.08,1.0,1,TRAILING_SL,v4
2026-02-20 13:13:00.000000,BEARISH,82758.79,82800,83100,PE,690.05,745.254,696.9505,586.5424999999999,True,20,7,96607.0,BSE_FO|1167885,CLOSED,2026-02-20 13:17:00.000000,696.9505,6.900499999999999,966.07,1.0,4,TRAILING_SL,v4
2026-02-20 13:19:00.000000,BEARISH,82735.5,82700,83000,PE,650.4,702.432,656.904,552.8399999999999,True,20,7,91056.0,BSE_FO|1165641,CLOSED,2026-02-20 13:22:00.000000,656.904,6.5040000000000004,910.56,1.0,3,TRAILING_SL,v4
2026-02-20 13:30:00.000000,BEARISH,82839.38,82800,83100,PE,655.05,707.454,556.7925,556.7924999999999,False,20,7,91707.0,BSE_FO|1167885,CLOSED,2026-02-20 13:36:00.000000,643.0,-12.05,-1687.0,-1.84,6,TIME_EXIT,v4
2026-02-20 13:38:00.000000,BULLISH,82868.79,82900,82600,CE,755.95,816.426,642.5575,642.5575,False,20,6,90714.0,BSE_FO|1168433,CLOSED,2026-02-20 13:44:00.000000,743.25,-12.7,-1524.0,-1.68,6,TIME_EXIT,v4
2026-02-20 14:48:00.000000,BULLISH,83071.73,83100,82800,CE,791.65,854.982,672.9025,672.9024999999999,False,20,6,94998.0,BSE_FO|1168901,CLOSED,2026-02-20 14:54:00.000000,740.0,-51.65,-6198.0,-6.52,6,TIME_EXIT,v4
