entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-13 09:29:00.000000,BEARISH,75501.79,75500,75800,PE,1035.4,1118.232,880.09,880.09,False,20,4,82832.0,BSE_FO|853447,CLOSED,2026-03-13 09:35:00.000000,1057.9,22.5,1800.0,2.173073,6,TIME_EXIT,v4
2026-03-13 09:37:00.000000,BEARISH,75450.7,75500,75800,PE,1057.1,1141.668,898.535,898.535,False,20,4,84568.0,BSE_FO|853447,CLOSED,2026-03-13 09:43:00.000000,1076.0,18.9,1512.0,1.78791,6,TIME_EXIT,v4
2026-03-13 09:48:00.000000,BEARISH,75332.47,75300,75600,PE,1051.7,1135.836,1062.217,893.945,True,20,4,84136.0,BSE_FO|852914,CLOSED,2026-03-13 09:51:00.000000,1062.217,10.517,841.36,1.0,3,TRAILING_SL,v4
2026-03-13 09:54:00.000000,BEARISH,75233.13,75200,75500,PE,1068.85,1154.358,1079.5385,908.5225,True,20,4,85508.0,BSE_FO|854933,CLOSED,2026-03-13 10:00:00.000000,1079.5385,10.6885,855.08,1.0,6,TRAILING_SL,v4
2026-03-13 10:02:00.000000,BEARISH,75243.18,75200,75500,PE,1031.1,1113.588,1041.411,876.435,True,20,4,82488.0,BSE_FO|854933,CLOSED,2026-03-13 10:06:00.000000,1113.588,82.488,6599.04,8.0,4,TARGET_HIT,v4
2026-03-13 10:07:00.000000,BEARISH,75176.11,75200,75500,PE,1087.4,1174.392,1098.274,924.29,True,20,4,86992.0,BSE_FO|854933,CLOSED,2026-03-13 10:13:00.000000,1129.75,42.35,3388.0,3.894611,6,TIME_EXIT,v4
2026-03-13 10:18:00.000000,BEARISH,75145.26,75100,75400,PE,1055.65,1140.102,1066.2065,897.3025,True,20,4,84452.0,BSE_FO|848779,CLOSED,2026-03-13 10:23:00.000000,1066.2065,10.5565,844.52,1.0,5,TRAILING_SL,v4
2026-03-13 10:37:00.000000,BEARISH,75158.21,75200,75500,PE,1085.0,1171.8,1095.85,922.25,True,20,4,86800.0,BSE_FO|854933,CLOSED,2026-03-13 10:43:00.000000,1119.35,34.35,2748.0,3.165899,6,TIME_EXIT,v4
2026-03-13 10:53:00.000000,BULLISH,75269.04,75300,75000,CE,1190.7,1285.956,1012.095,1012.095,False,20,4,95256.0,BSE_FO|854170,CLOSED,2026-03-13 10:59:00.000000,1189.9,-0.8,-64.0,-0.067187,6,TIME_EXIT,v4
2026-03-13 11:09:00.000000,BEARISH,75148.34,75100,75400,PE,1037.2,1120.176,1047.572,881.62,True,20,4,82976.0,BSE_FO|848779,CLOSED,2026-03-13 11:15:00.000000,1092.65,55.45,4436.0,5.346124,6,TIME_EXIT,v4
2026-03-13 11:17:00.000000,BEARISH,75125.02,75100,75400,PE,1060.7,1145.556,901.595,901.595,False,20,4,84856.0,BSE_FO|848779,CLOSED,2026-03-13 11:23:00.000000,1051.2,-9.5,-760.0,-0.895635,6,TIME_EXIT,v4
2026-03-13 11:31:00.000000,BULLISH,75260.34,75300,75000,CE,1193.9,1289.412,1205.839,1014.815,True,20,4,95512.0,BSE_FO|854170,CLOSED,2026-03-13 11:37:00.000000,1205.839,11.939,955.12,1.0,6,TRAILING_SL,v4
2026-03-13 11:39:00.000000,BULLISH,75355.96,75400,75100,CE,1175.5,1269.54,999.175,999.175,False,20,4,94040.0,BSE_FO|848523,CLOSED,2026-03-13 11:45:00.000000,1172.7,-2.8,-224.0,-0.238197,6,TIME_EXIT,v4
2026-03-13 12:00:00.000000,BEARISH,75212.49,75200,75500,PE,1042.6,1126.008,886.21,886.21,False,20,4,83408.0,BSE_FO|854933,CLOSED,2026-03-13 12:06:00.000000,1058.3,15.7,1256.0,1.505851,6,TIME_EXIT,v4
2026-03-13 12:11:00.000000,BEARISH,75105.5,75100,75400,PE,1050.0,1134.0,892.5,892.5,False,20,4,84000.0,BSE_FO|848779,CLOSED,2026-03-13 12:17:00.000000,1032.9,-17.1,-1368.0,-1.628571,6,TIME_EXIT,v4
2026-03-13 12:17:00.000000,BEARISH,75150.93,75200,75500,PE,1085.2,1172.016,1096.052,922.42,True,20,4,86816.0,BSE_FO|854933,CLOSED,2026-03-13 12:19:00.000000,1096.052,10.852,868.16,1.0,2,TRAILING_SL,v4
2026-03-13 12:19:00.000000,BEARISH,75121.97,75100,75400,PE,1067.35,1152.738,1078.0235,907.2475,True,20,4,85388.0,BSE_FO|848779,CLOSED,2026-03-13 12:23:00.000000,1152.738,85.388,6831.04,8.0,4,TARGET_HIT,v4
2026-03-13 12:30:00.000000,BEARISH,74950.17,75000,75300,PE,1122.05,1211.814,1133.2705,953.7425,True,20,4,89764.0,BSE_FO|854418,CLOSED,2026-03-13 12:31:00.000000,1133.2705,11.2205,897.64,1.0,1,TRAILING_SL,v4
2026-03-13 12:46:00.000000,BEARISH,74843.29,74800,75100,PE,1107.45,1196.046,941.3325,941.3325,False,20,4,88596.0,BSE_FO|853888,CLOSED,2026-03-13 12:52:00.000000,1125.0,17.55,1404.0,1.584722,6,TIME_EXIT,v4
2026-03-13 13:11:00.000000,BEARISH,74751.56,74800,75100,PE,1155.9,1248.372,1167.459,982.515,True,20,4,92472.0,BSE_FO|853888,CLOSED,2026-03-13 13:17:00.000000,1183.85,27.95,2236.0,2.418029,6,TIME_EXIT,v4
2026-03-13 13:27:00.000000,BEARISH,74625.44,74600,74900,PE,1131.6,1222.128,961.86,961.86,False,20,4,90528.0,BSE_FO|851123,CLOSED,2026-03-13 13:33:00.000000,1136.25,4.65,372.0,0.410923,6,TIME_EXIT,v4
2026-03-13 13:38:00.000000,BEARISH,74545.9,74500,74800,PE,1119.75,1209.33,951.7875,951.7875,False,20,4,89580.0,BSE_FO|848593,CLOSED,2026-03-13 13:44:00.000000,1103.7,-16.05,-1284.0,-1.433356,6,TIME_EXIT,v4
2026-03-13 13:54:00.000000,BEARISH,74531.78,74500,74800,PE,1139.3,1230.444,1150.693,968.405,True,20,4,91144.0,BSE_FO|848593,CLOSED,2026-03-13 14:00:00.000000,1164.35,25.05,2004.0,2.198719,6,TIME_EXIT,v4
2026-03-13 14:18:00.000000,BULLISH,74690.65,74700,74400,CE,1234.7,1333.476,1247.047,1049.495,True,20,4,98776.0,BSE_FO|850400,CLOSED,2026-03-13 14:19:00.000000,1247.047,12.347,987.76,1.0,1,TRAILING_SL,v4
2026-03-13 14:24:00.000000,BULLISH,74761.7,74800,74500,CE,1205.0,1301.4,1024.25,1024.25,False,20,4,96400.0,BSE_FO|856550,CLOSED,2026-03-13 14:30:00.000000,1219.05,14.05,1124.0,1.165975,6,TIME_EXIT,v4
2026-03-13 14:45:00.000000,BEARISH,74767.23,74800,75100,PE,1151.5,1243.62,1163.015,978.775,True,20,4,92120.0,BSE_FO|853888,CLOSED,2026-03-13 14:46:00.000000,1163.015,11.515,921.2,1.0,1,TRAILING_SL,v4
2026-03-13 14:53:00.000000,BEARISH,74625.65,74600,74900,PE,1136.6,1227.528,1147.966,966.11,True,20,4,90928.0,BSE_FO|851123,CLOSED,2026-03-13 14:58:00.000000,1147.966,11.366,909.28,1.0,5,TRAILING_SL,v4
