entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason
2026-04-01 09:16:00.000000,BULLISH,73599.08,73600,73300,CE,702.9,759.132,709.929,597.465,True,20,7,98406.0,BSE_FO|865021,CLOSED,2026-04-01 09:17:00.000000,709.929,7.029,984.06,1.0,1,TRAILING_SL
2026-04-01 09:21:00.000000,BULLISH,73770.06,73800,73500,CE,703.3,759.564,710.333,597.805,True,20,7,98462.0,BSE_FO|865038,CLOSED,2026-04-01 09:26:00.000000,710.333,7.033,984.62,1.0,5,TRAILING_SL
2026-04-01 09:29:00.000000,BULLISH,73889.13,73900,73600,CE,697.2,752.976,592.62,592.62,False,20,7,97608.0,BSE_FO|864968,CLOSED,2026-04-01 09:32:00.000000,592.62,-104.58,-14641.2,-15.0,3,STOP_LOSS
2026-04-01 09:32:00.000000,BULLISH,73641.32,73600,73300,CE,748.55,808.434,636.2675,636.2675,False,20,6,89826.0,BSE_FO|865021,CLOSED,2026-04-01 09:38:00.000000,726.95,-21.6,-2592.0,-2.885579,6,TIME_EXIT
2026-04-01 09:43:00.000000,BULLISH,73641.39,73600,73300,CE,747.95,807.786,755.4295,635.7575,True,20,6,89754.0,BSE_FO|865021,CLOSED,2026-04-01 09:44:00.000000,755.4295,7.4795,897.54,1.0,1,TRAILING_SL
2026-04-01 09:45:00.000000,BULLISH,73690.31,73700,73400,CE,714.2,771.336,721.342,607.07,True,20,7,99988.0,BSE_FO|865108,CLOSED,2026-04-01 09:48:00.000000,721.342,7.142,999.88,1.0,3,TRAILING_SL
2026-04-01 09:54:00.000000,BULLISH,73861.17,73900,73600,CE,678.4,732.672,576.64,576.64,False,20,7,94976.0,BSE_FO|864968,CLOSED,2026-04-01 10:00:00.000000,658.7,-19.7,-2758.0,-2.903892,6,TIME_EXIT
2026-04-01 10:02:00.000000,BULLISH,73900.22,73900,73600,CE,688.45,743.526,695.3345,585.1825,True,20,7,96383.0,BSE_FO|864968,CLOSED,2026-04-01 10:03:00.000000,695.3345,6.8845,963.83,1.0,1,TRAILING_SL
2026-04-01 10:04:00.000000,BULLISH,73920.87,73900,73600,CE,710.65,767.502,604.0525,604.0525,False,20,7,99491.0,BSE_FO|864968,CLOSED,2026-04-01 10:10:00.000000,633.25,-77.4,-10836.0,-10.891437,6,TIME_EXIT
2026-04-01 10:12:00.000000,BEARISH,73753.91,73800,74100,PE,666.8,720.144,673.468,566.78,True,20,7,93352.0,BSE_FO|864949,CLOSED,2026-04-01 10:13:00.000000,673.468,6.668,933.52,1.0,1,TRAILING_SL
2026-04-01 10:15:00.000000,BEARISH,73737.56,73700,74000,PE,627.0,677.16,633.27,532.95,True,20,7,87780.0,BSE_FO|865018,CLOSED,2026-04-01 10:19:00.000000,633.27,6.27,877.8,1.0,4,TRAILING_SL
2026-04-01 10:21:00.000000,BEARISH,73706.51,73700,74000,PE,645.95,697.626,652.4095,549.0575,True,20,7,90433.0,BSE_FO|865018,CLOSED,2026-04-01 10:23:00.000000,697.626,51.676,7234.64,8.0,2,TARGET_HIT
2026-04-01 10:29:00.000000,BEARISH,73486.78,73500,73800,PE,658.2,710.856,664.782,559.47,True,20,7,92148.0,BSE_FO|865043,CLOSED,2026-04-01 10:30:00.000000,664.782,6.582,921.48,1.0,1,TRAILING_SL
2026-04-01 10:31:00.000000,BEARISH,73506.59,73500,73800,PE,653.75,706.05,555.6875,555.6875,False,20,7,91525.0,BSE_FO|865043,CLOSED,2026-04-01 10:37:00.000000,629.25,-24.5,-3430.0,-3.74761,6,TIME_EXIT
2026-04-01 10:42:00.000000,BULLISH,73494.37,73500,73200,CE,722.45,780.246,729.6745,614.0825,True,20,6,86694.0,BSE_FO|865087,CLOSED,2026-04-01 10:43:00.000000,729.6745,7.2245,866.94,1.0,1,TRAILING_SL
2026-04-01 10:45:00.000000,BEARISH,73532.73,73500,73800,PE,631.4,681.912,637.714,536.69,True,20,7,88396.0,BSE_FO|865043,CLOSED,2026-04-01 10:49:00.000000,637.714,6.314,883.96,1.0,4,TRAILING_SL
2026-04-01 10:50:00.000000,BEARISH,73473.85,73500,73800,PE,666.7,720.036,566.695,566.695,False,20,7,93338.0,BSE_FO|865043,CLOSED,2026-04-01 10:56:00.000000,665.65,-1.05,-147.0,-0.157492,6,TIME_EXIT
2026-04-01 11:01:00.000000,BEARISH,73380.15,73400,73700,PE,649.55,701.514,656.0455,552.1175,True,20,7,90937.0,BSE_FO|865117,CLOSED,2026-04-01 11:06:00.000000,656.0455,6.4955,909.37,1.0,5,TRAILING_SL
2026-04-01 11:06:00.000000,BEARISH,73386.37,73400,73700,PE,652.05,704.214,554.2425,554.2425,False,20,7,91287.0,BSE_FO|865117,CLOSED,2026-04-01 11:12:00.000000,621.0,-31.05,-4347.0,-4.761905,6,TIME_EXIT
2026-04-01 11:12:00.000000,BULLISH,73434.51,73400,73100,CE,719.15,776.682,611.2775,611.2775,False,20,6,86298.0,BSE_FO|865004,CLOSED,2026-04-01 11:18:00.000000,699.35,-19.8,-2376.0,-2.75325,6,TIME_EXIT
2026-04-01 11:20:00.000000,BEARISH,73431.46,73400,73700,PE,615.75,665.01,523.3875,523.3875,False,20,8,98520.0,BSE_FO|865117,CLOSED,2026-04-01 11:26:00.000000,590.7,-25.05,-4008.0,-4.06821,6,TIME_EXIT
2026-04-01 11:31:00.000000,BULLISH,73556.48,73600,73300,CE,681.8,736.344,579.53,579.53,False,20,7,95452.0,BSE_FO|865021,CLOSED,2026-04-01 11:37:00.000000,664.15,-17.65,-2471.0,-2.588736,6,TIME_EXIT
2026-04-01 11:47:00.000000,BULLISH,73449.74,73400,73100,CE,717.35,774.738,609.7475,609.7475,False,20,6,86082.0,BSE_FO|865004,CLOSED,2026-04-01 11:53:00.000000,672.0,-45.35,-5442.0,-6.321879,6,TIME_EXIT
2026-04-01 11:58:00.000000,BEARISH,73457.27,73500,73800,PE,636.7,687.636,541.195,541.195,False,20,7,89138.0,BSE_FO|865043,CLOSED,2026-04-01 12:03:00.000000,541.195,-95.505,-13370.7,-15.0,5,STOP_LOSS
2026-04-01 12:03:00.000000,BULLISH,73676.49,73700,73400,CE,685.95,740.826,583.0575,583.0575,False,20,7,96033.0,BSE_FO|865108,CLOSED,2026-04-01 12:09:00.000000,684.2,-1.75,-245.0,-0.255121,6,TIME_EXIT
2026-04-01 12:09:00.000000,BULLISH,73683.16,73700,73400,CE,684.2,738.936,691.042,581.57,True,20,7,95788.0,BSE_FO|865108,CLOSED,2026-04-01 12:13:00.000000,691.042,6.842,957.88,1.0,4,TRAILING_SL
2026-04-01 12:17:00.000000,BULLISH,73703.39,73700,73400,CE,703.65,759.942,598.1025,598.1025,False,20,7,98511.0,BSE_FO|865108,CLOSED,2026-04-01 12:23:00.000000,664.6,-39.05,-5467.0,-5.549634,6,TIME_EXIT
2026-04-01 12:33:00.000000,BEARISH,73642.3,73600,73900,PE,567.5,612.9,573.175,482.375,True,20,8,90800.0,BSE_FO|864976,CLOSED,2026-04-01 12:35:00.000000,573.175,5.675,908.0,1.0,2,TRAILING_SL
2026-04-01 12:44:00.000000,BULLISH,73657.05,73700,73400,CE,665.35,718.578,672.0035,565.5475,True,20,7,93149.0,BSE_FO|865108,CLOSED,2026-04-01 12:45:00.000000,672.0035,6.6535,931.49,1.0,1,TRAILING_SL
2026-04-01 12:49:00.000000,BULLISH,73781.65,73800,73500,CE,666.5,719.82,566.525,566.525,False,20,7,93310.0,BSE_FO|865038,CLOSED,2026-04-01 12:55:00.000000,670.0,3.5,490.0,0.525131,6,TIME_EXIT
2026-04-01 13:00:00.000000,BULLISH,73772.08,73800,73500,CE,669.85,723.438,569.3725,569.3725,False,20,7,93779.0,BSE_FO|865038,CLOSED,2026-04-01 13:06:00.000000,670.65,0.8,112.0,0.11943,6,TIME_EXIT
2026-04-01 13:11:00.000000,BEARISH,73722.35,73700,74000,PE,577.45,623.646,490.8325,490.8325,False,20,8,92392.0,BSE_FO|865018,CLOSED,2026-04-01 13:15:00.000000,490.8325,-86.6175,-13858.8,-15.0,4,STOP_LOSS
2026-04-01 13:24:00.000000,BULLISH,73591.84,73600,73300,CE,657.2,709.776,558.62,558.62,False,20,7,92008.0,BSE_FO|865021,CLOSED,2026-04-01 13:30:00.000000,618.05,-39.15,-5481.0,-5.957091,6,TIME_EXIT
