entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-09 09:21:00.000000,BEARISH,76589.04,76600,76900,PE,1226.95,1325.106,1239.2195,1042.9075,True,20,4,98156.0,BSE_FO|846141,CLOSED,2026-03-09 09:26:00.000000,1239.2195,12.2695,981.56,1.0,5,TRAILING_SL,v4
2026-03-09 09:40:00.000000,BEARISH,76676.06,76700,77000,PE,1153.6,1245.888,1165.136,980.56,True,20,4,92288.0,BSE_FO|845888,CLOSED,2026-03-09 09:43:00.000000,1165.136,11.536,922.88,1.0,3,TRAILING_SL,v4
2026-03-09 09:45:00.000000,BEARISH,76529.98,76500,76800,PE,1157.0,1249.56,983.45,983.45,False,20,4,92560.0,BSE_FO|845956,CLOSED,2026-03-09 09:51:00.000000,1059.1,-97.9,-7832.0,-8.461538,6,TIME_EXIT,v4
2026-03-09 09:59:00.000000,BULLISH,76707.93,76700,76400,CE,1264.95,1366.146,1075.2075,1075.2075,False,20,3,75897.0,BSE_FO|846083,CLOSED,2026-03-09 10:05:00.000000,1242.65,-22.3,-1338.0,-1.762916,6,TIME_EXIT,v4
2026-03-09 10:07:00.000000,BEARISH,76767.48,76800,77100,PE,1170.0,1263.6,994.5,994.5,False,20,4,93600.0,BSE_FO|845752,CLOSED,2026-03-09 10:13:00.000000,1135.5,-34.5,-2760.0,-2.948718,6,TIME_EXIT,v4
2026-03-09 10:21:00.000000,BEARISH,76738.25,76700,77000,PE,1141.8,1233.144,970.53,970.53,False,20,4,91344.0,BSE_FO|845888,CLOSED,2026-03-09 10:27:00.000000,1125.4,-16.4,-1312.0,-1.436329,6,TIME_EXIT,v4
2026-03-09 10:56:00.000000,BULLISH,77138.03,77100,76800,CE,1255.3,1355.724,1267.853,1067.005,True,20,3,75318.0,BSE_FO|845828,CLOSED,2026-03-09 10:57:00.000000,1267.853,12.553,753.18,1.0,1,TRAILING_SL,v4
2026-03-09 11:01:00.000000,BULLISH,77008.56,77000,76700,CE,1230.05,1328.454,1045.5425,1045.5425,False,20,4,98404.0,BSE_FO|845975,CLOSED,2026-03-09 11:07:00.000000,1216.25,-13.8,-1104.0,-1.121906,6,TIME_EXIT,v4
2026-03-09 11:09:00.000000,BULLISH,76951.64,77000,76700,CE,1187.95,1282.986,1009.7575,1009.7575,False,20,4,95036.0,BSE_FO|845975,CLOSED,2026-03-09 11:15:00.000000,1153.5,-34.45,-2756.0,-2.899954,6,TIME_EXIT,v4
2026-03-09 11:15:00.000000,BEARISH,76891.21,76900,77200,PE,1119.95,1209.546,951.9575,951.9575,False,20,4,89596.0,BSE_FO|845927,CLOSED,2026-03-09 11:21:00.000000,1033.85,-86.1,-6888.0,-7.687843,6,TIME_EXIT,v4
