entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason
2026-04-10 09:16:00.000000,BULLISH,77144.74,77100,76700,CE,1063.5,1078.5,903.975,903.975,False,20,4,85080.0,BSE_FO|869603,CLOSED,2026-04-10 09:18:00.000000,1078.5,15.0,1200.0,1.410437,2,TARGET_HIT
2026-04-10 09:29:00.000000,BULLISH,77138.53,77100,76700,CE,1055.0,1070.0,896.75,896.75,False,20,4,84400.0,BSE_FO|869603,CLOSED,2026-04-10 09:30:00.000000,1070.0,15.0,1200.0,1.421801,1,TARGET_HIT
2026-04-10 09:43:00.000000,BULLISH,77195.47,77200,77100,CE,844.5,859.5,852.945,717.825,True,20,5,84450.0,BSE_FO|872711,CLOSED,2026-04-10 09:47:00.000000,852.945,8.445,844.5,1.0,4,TRAILING_SL
2026-04-10 09:59:00.000000,BULLISH,77338.07,77300,77100,CE,896.4,911.4,761.94,761.94,False,20,5,89640.0,BSE_FO|872711,CLOSED,2026-04-10 10:00:00.000000,911.4,15.0,1500.0,1.67336,1,TARGET_HIT
2026-04-10 10:10:00.000000,BEARISH,77292.52,77300,77400,PE,762.3,777.3,647.955,647.955,False,20,6,91476.0,BSE_FO|872933,CLOSED,2026-04-10 10:16:00.000000,698.4,-63.9,-7668.0,-8.382527,6,TIME_EXIT
2026-04-10 10:26:00.000000,BULLISH,77471.82,77500,77400,CE,797.9,812.9,678.215,678.215,False,20,6,95748.0,BSE_FO|875521,CLOSED,2026-04-10 10:32:00.000000,786.45,-11.45,-1374.0,-1.435017,6,TIME_EXIT
2026-04-10 11:20:00.000000,BEARISH,77345.82,77300,77400,PE,712.0,727.0,605.2,605.2,False,20,7,99680.0,BSE_FO|872933,CLOSED,2026-04-10 11:26:00.000000,694.25,-17.75,-2485.0,-2.492978,6,TIME_EXIT
2026-04-10 11:50:00.000000,BEARISH,77300.27,77300,77400,PE,735.0,750.0,624.75,624.75,False,20,6,88200.0,BSE_FO|872933,CLOSED,2026-04-10 11:56:00.000000,738.8,3.8,456.0,0.517007,6,TIME_EXIT
2026-04-10 12:09:00.000000,BULLISH,77405.84,77400,77300,CE,809.85,824.85,688.3725,688.3725,False,20,6,97182.0,BSE_FO|873192,CLOSED,2026-04-10 12:15:00.000000,784.4,-25.45,-3054.0,-3.142557,6,TIME_EXIT
2026-04-10 12:49:00.000000,BULLISH,77413.31,77400,77300,CE,811.5,826.5,689.775,689.775,False,20,6,97380.0,BSE_FO|873192,CLOSED,2026-04-10 12:55:00.000000,797.6,-13.9,-1668.0,-1.712877,6,TIME_EXIT
2026-04-10 13:27:00.000000,BULLISH,77403.74,77400,77300,CE,798.95,813.95,806.9395,679.1075,True,20,6,95874.0,BSE_FO|873192,CLOSED,2026-04-10 13:32:00.000000,813.95,15.0,1800.0,1.877464,5,TARGET_HIT
2026-04-10 14:18:00.000000,BULLISH,77361.41,77400,77200,CE,810.55,825.55,688.9675,688.9675,False,20,6,97266.0,BSE_FO|875054,CLOSED,2026-04-10 14:20:00.000000,825.55,15.0,1800.0,1.850595,2,TARGET_HIT
