entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-25 09:16:08,BULLISH,23126.50,,74500,CE,424.75,458.73,361.04,20,11,93445.00,,CLOSED,2026-03-25 09:17:05,458.75,34.0,7480.00,+8.00,0,TARGET_HIT,v2
2026-03-25 09:19:06,BULLISH,23139.10,,74500,CE,446.45,482.17,379.48,20,11,98219.00,,CLOSED,2026-03-25 09:19:36,482.20,35.75,7865.00,+8.01,0,TARGET_HIT,v2
2026-03-25 09:22:11,BULLISH,23191.15,,74600,CE,463.05,500.09,393.59,20,10,92610.00,,CLOSED,2026-03-25 09:24:42,467.60,4.55,910.00,+0.98,2,TRAILING_SL,v2
2026-03-25 09:25:10,BULLISH,23190.70,,74600,CE,459.70,496.48,390.75,20,10,91940.00,,CLOSED,2026-03-25 09:26:01,463.00,3.3,660.00,+0.72,0,TRAILING_SL,v2
2026-03-25 09:28:12,BULLISH,23203.05,,74600,CE,474.90,512.89,403.66,20,10,94980.00,,CLOSED,2026-03-25 09:31:06,514.90,40.0,8000.00,+8.42,2,TARGET_HIT,v2
2026-03-25 09:31:12,BULLISH,23220.65,,74700,CE,447.90,483.73,380.71,20,11,98538.00,,CLOSED,2026-03-25 09:35:34,484.30,36.4,8008.00,+8.13,4,TARGET_HIT,v2
2026-03-25 09:35:40,BULLISH,23237.65,,74800,CE,424.05,457.97,360.44,20,11,93291.00,,CLOSED,2026-03-25 09:38:46,355.90,-68.15,-14993.00,-16.07,3,STOP_LOSS,v2
2026-03-25 09:38:52,BULLISH,23206.25,,74700,CE,417.65,451.06,355.00,20,11,91883.00,,CLOSED,2026-03-25 09:40:27,421.80,4.15,913.00,+0.99,1,TRAILING_SL,v2
2026-03-25 09:40:33,BULLISH,23212.10,,74700,CE,420.25,453.87,357.21,20,11,92455.00,,CLOSED,2026-03-25 09:42:55,457.60,37.35,8217.00,+8.89,2,TARGET_HIT,v2
2026-03-25 09:43:13,BULLISH,23239.00,,74800,CE,425.80,459.86,361.93,20,11,93676.00,,CLOSED,2026-03-25 09:43:25,463.10,37.3,8206.00,+8.76,0,TARGET_HIT,v2
2026-03-25 09:46:14,BULLISH,23273.20,,74900,CE,438.40,473.47,372.64,20,11,96448.00,,CLOSED,2026-03-25 09:49:02,434.10,-4.3,-946.00,-0.98,2,TRAILING_SL,v2
2026-03-25 09:49:14,BULLISH,23269.20,,74900,CE,427.35,461.54,363.25,20,11,94017.00,,CLOSED,2026-03-25 09:50:59,431.10,3.75,825.00,+0.88,1,TRAILING_SL,v2
2026-03-25 09:51:06,BULLISH,23268.80,,74900,CE,438.20,473.26,372.47,20,11,96404.00,,CLOSED,2026-03-25 09:52:41,474.25,36.05,7931.00,+8.23,1,TARGET_HIT,v2
2026-03-25 09:52:47,BULLISH,23283.70,,74900,CE,463.55,500.63,394.02,20,10,92710.00,,CLOSED,2026-03-25 09:55:08,467.00,3.45,690.00,+0.74,2,TRAILING_SL,v2
2026-03-25 09:58:18,BULLISH,23271.50,,74900,CE,428.50,462.78,364.22,20,11,94270.00,,CLOSED,2026-03-25 10:00:03,463.80,35.3,7766.00,+8.24,1,TARGET_HIT,v2
2026-03-25 10:01:21,BULLISH,23295.20,,75000,CE,417.10,450.47,354.54,20,11,91762.00,,CLOSED,2026-03-25 10:06:13,339.50,-77.6,-17072.00,-18.60,4,STOP_LOSS,v2
2026-03-25 10:06:20,BULLISH,23257.50,,74800,CE,462.05,499.01,392.74,20,10,92410.00,,CLOSED,2026-03-25 10:06:39,460.85,-1.2,-240.00,-0.26,0,TRAILING_SL,v2
2026-03-25 10:10:21,BULLISH,23301.65,,75000,CE,428.30,462.56,364.06,20,11,94226.00,,CLOSED,2026-03-25 10:13:32,429.25,0.95,209.00,+0.22,3,TRAILING_SL,v2
2026-03-25 10:13:38,BULLISH,23304.75,,75000,CE,425.70,459.76,361.84,20,11,93654.00,,CLOSED,2026-03-25 10:18:02,429.00,3.3,726.00,+0.78,4,TRAILING_SL,v2
2026-03-25 10:18:08,BULLISH,23311.85,,75000,CE,433.75,468.45,368.69,20,11,95425.00,,CLOSED,2026-03-25 10:28:36,436.20,2.45,539.00,+0.56,10,TRAILING_SL,v2
2026-03-25 10:28:42,BULLISH,23311.90,,75000,CE,434.80,469.58,369.58,20,11,95656.00,,CLOSED,2026-03-25 10:30:24,437.80,3.0,660.00,+0.69,1,TRAILING_SL,v2
2026-03-25 10:31:30,BULLISH,23316.70,,75000,CE,441.90,477.25,375.61,20,11,97218.00,,CLOSED,2026-03-25 10:41:20,480.35,38.45,8459.00,+8.70,9,TARGET_HIT,v2
2026-03-25 10:41:27,BULLISH,23329.85,,75100,CE,411.25,444.15,349.56,20,12,98700.00,,CLOSED,2026-03-25 10:43:01,455.25,44.0,10560.00,+10.70,1,TARGET_HIT,v2
2026-03-25 10:46:30,BULLISH,23367.30,,75200,CE,432.85,467.48,367.92,20,11,95227.00,,CLOSED,2026-03-25 10:46:57,434.85,2.0,440.00,+0.46,0,TRAILING_SL,v2
2026-03-25 10:47:03,BULLISH,23362.75,,75200,CE,431.80,466.34,367.03,20,11,94996.00,,CLOSED,2026-03-25 11:02:11,470.15,38.35,8437.00,+8.88,15,TARGET_HIT,v2
2026-03-25 11:02:17,BULLISH,23386.95,,75300,CE,403.55,435.83,343.02,20,12,96852.00,,CLOSED,2026-03-25 11:07:30,447.10,43.55,10452.00,+10.79,5,TARGET_HIT,v2
2026-03-25 11:10:40,BULLISH,23426.55,,75400,CE,442.35,477.74,376.00,20,11,97317.00,,CLOSED,2026-03-25 11:15:28,443.30,0.95,209.00,+0.21,4,TRAILING_SL,v2
2026-03-25 11:15:33,BULLISH,23424.30,,75400,CE,444.40,479.95,377.74,20,11,97768.00,,CLOSED,2026-03-25 11:16:20,448.80,4.4,968.00,+0.99,0,TRAILING_SL,v2
2026-03-25 11:16:44,BULLISH,23416.65,,75400,CE,425.25,459.27,361.46,20,11,93555.00,,CLOSED,2026-03-25 11:18:11,428.95,3.7,814.00,+0.87,1,TRAILING_SL,v2
2026-03-25 11:22:44,BULLISH,23410.55,,75400,CE,405.50,437.94,344.68,20,12,97320.00,,CLOSED,2026-03-25 11:25:48,342.05,-63.45,-15228.00,-15.65,3,STOP_LOSS,v2
2026-03-25 11:37:52,BULLISH,23369.50,,75200,CE,449.35,485.30,381.95,20,11,98857.00,,CLOSED,2026-03-25 11:41:47,452.40,3.05,671.00,+0.68,3,TRAILING_SL,v2
