entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-02-25 09:15:56.176,BULLISH,25553.85,82600,82300,CE,564.50,609.66,479.83,20,8,90320.0,BSE_FO|1161837,CLOSED,2026-02-25 09:16:22.702,566.00,1.50,240.00,0.27,1,TRAILING_SL,v3
2026-02-25 09:18:52.831,BULLISH,25553.50,82700,82300,CE,579.50,625.86,492.58,20,8,92720.0,BSE_FO|1161837,CLOSED,2026-02-25 09:21:24.487,630.65,51.15,8184.00,8.83,3,TARGET_HIT,v3
2026-02-25 09:21:58.403,BULLISH,25565.05,82700,82400,CE,550.75,594.81,468.14,20,9,99135.0,BSE_FO|1161837,CLOSED,2026-02-25 09:27:11.692,595.75,45.00,8100.00,8.17,6,TARGET_HIT,v3
2026-02-25 09:27:18.016,BULLISH,25592.50,82800,82500,CE,519.55,561.11,441.62,20,9,93519.0,BSE_FO|1161837,CLOSED,2026-02-25 09:33:18.101,475.40,-44.15,-7947.00,-8.50,6,TRAILING_SL,v3
2026-02-25 09:33:24.041,BULLISH,25570,82700,82400,CE,551.15,595.24,468.48,20,9,99207.0,BSE_FO|1161837,CLOSED,2026-02-25 09:37:58.588,552.60,1.45,261.00,0.26,4,TRAILING_SL,v3
2026-02-25 09:40:01.965,BULLISH,25580,82700,82400,CE,534.45,577.21,454.28,20,9,96201.0,BSE_FO|1161837,CLOSED,2026-02-25 09:41:47.796,539.20,4.75,855.00,0.89,1,TRAILING_SL,v3
2026-02-25 09:55:04.701,BULLISH,25580,82700,82400,CE,530.35,572.78,450.80,20,9,95463.0,BSE_FO|1161837,CLOSED,2026-02-25 09:58:08.082,576.90,46.55,8379.00,8.78,3,TARGET_HIT,v3
2026-02-25 09:58:14.245,BULLISH,25590,82800,82500,CE,503.00,543.24,427.55,20,9,90540.0,BSE_FO|1161837,CLOSED,2026-02-25 10:04:13.946,522.60,19.60,3528.00,3.90,6,TRAILING_SL,v3
2026-02-25 10:04:20.711,BULLISH,25590,82800,82500,CE,523.50,565.38,444.98,20,9,94230.0,BSE_FO|1161837,CLOSED,2026-02-25 10:10:21.105,530.70,7.20,1296.00,1.38,6,TRAILING_SL,v3
2026-02-25 10:10:26.830,BULLISH,25610,82900,82600,CE,455.35,491.78,387.05,20,10,91070.0,BSE_FO|1161837,CLOSED,2026-02-25 10:15:51.140,493.25,37.90,7580.00,8.32,5,TARGET_HIT,v3
2026-02-25 10:15:57.001,BULLISH,25610,82900,82600,CE,495.60,535.25,421.26,20,10,99120.0,BSE_FO|1161837,CLOSED,2026-02-25 10:16:56.654,538.65,43.05,8610.00,8.69,1,TARGET_HIT,v3
2026-02-25 10:17:02.500,BULLISH,25610,82900,82600,CE,539.25,582.39,458.36,20,9,97065.0,BSE_FO|1161837,CLOSED,2026-02-25 10:23:03.228,500.30,-38.95,-7011.00,-7.22,6,TRAILING_SL,v3
2026-02-25 10:23:09.182,BULLISH,25600,82900,82600,CE,496.60,536.33,422.11,20,10,99320.0,BSE_FO|1161837,CLOSED,2026-02-25 10:29:09.906,477.95,-18.65,-3730.00,-3.76,6,TRAILING_SL,v3
2026-02-25 10:29:16.375,BULLISH,25600,82900,82600,CE,480.90,519.37,408.77,20,10,96180.0,BSE_FO|1161837,CLOSED,2026-02-25 10:35:17.480,492.05,11.15,2230.00,2.32,6,TRAILING_SL,v3
2026-02-25 10:37:17.684,BULLISH,25610,82900,82600,CE,494.70,534.28,420.50,20,10,98940.0,BSE_FO|1161837,CLOSED,2026-02-25 10:43:18.410,455.20,-39.50,-7900.00,-7.98,6,TRAILING_SL,v3
2026-02-25 10:43:24.127,BULLISH,25610,82900,82500,CE,523.90,565.81,445.32,20,9,94302.0,BSE_FO|1161837,CLOSED,2026-02-25 10:49:25.316,504.85,-19.05,-3429.00,-3.64,6,TRAILING_SL,v3
2026-02-25 11:19:35.108,BULLISH,25580,82700,82400,CE,531.45,573.97,451.73,20,9,95661.0,BSE_FO|1161837,CLOSED,2026-02-25 11:25:34.680,528.75,-2.70,-486.00,-0.51,6,TRAILING_SL,v3
2026-02-25 11:37:36.072,BULLISH,25580,82700,82400,CE,524.80,566.78,446.08,20,9,94464.0,BSE_FO|1161837,CLOSED,2026-02-25 11:43:36.467,500.45,-24.35,-4383.00,-4.64,6,TRAILING_SL,v3
2026-02-25 12:13:45.793,BULLISH,25560,82700,82400,CE,489.50,528.66,416.08,20,10,97900.0,BSE_FO|1161837,CLOSED,2026-02-25 12:19:05.219,493.75,4.25,850.00,0.87,6,TRAILING_SL,v3
2026-02-25 12:19:11.530,BULLISH,25550,82700,82400,CE,493.25,532.71,419.26,20,10,98650.0,BSE_FO|1161837,CLOSED,2026-02-25 12:25:12.080,464.80,-28.45,-5690.00,-5.77,6,TRAILING_SL,v3
