entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-25 09:16:05,BULLISH,23128.85,,74500,CE,425.25,459.27,361.46,20,11,93555.00,,CLOSED,2026-03-25 09:17:08,470.90,45.65,10043.00,+10.73,1,TARGET_HIT,v3
2026-03-25 09:19:06,BULLISH,23138.00,,74500,CE,446.40,482.11,379.44,20,11,98208.00,,CLOSED,2026-03-25 09:20:05,483.10,36.7,8074.00,+8.22,0,TARGET_HIT,v3
2026-03-25 09:20:11,BULLISH,23172.90,,74600,CE,421.10,454.79,357.94,20,11,92642.00,,CLOSED,2026-03-25 09:20:43,421.85,0.75,165.00,+0.18,0,TRAILING_SL,v3
2026-03-25 09:22:10,BULLISH,23191.15,,74600,CE,463.05,500.09,393.59,20,10,92610.00,,CLOSED,2026-03-25 09:24:41,467.60,4.55,910.00,+0.98,2,TRAILING_SL,v3
2026-03-25 09:25:09,BULLISH,23192.80,,74600,CE,459.70,496.48,390.75,20,10,91940.00,,CLOSED,2026-03-25 09:26:00,462.05,2.35,470.00,+0.51,0,TRAILING_SL,v3
2026-03-25 09:28:11,BULLISH,23201.60,,74600,CE,468.35,505.82,398.10,20,10,93670.00,,CLOSED,2026-03-25 09:28:36,472.25,3.9,780.00,+0.83,0,TRAILING_SL,v3
2026-03-25 09:31:09,BULLISH,23222.10,,74700,CE,442.80,478.22,376.38,20,11,97416.00,,CLOSED,2026-03-25 09:32:31,440.45,-2.35,-517.00,-0.53,1,TRAILING_SL,v3
2026-03-25 09:32:37,BULLISH,23213.85,,74700,CE,433.00,467.64,368.05,20,11,95260.00,,CLOSED,2026-03-25 09:33:00,437.00,4.0,880.00,+0.92,0,TRAILING_SL,v3
2026-03-25 09:34:12,BULLISH,23225.55,,74700,CE,467.45,504.85,397.33,20,10,93490.00,,CLOSED,2026-03-25 09:34:44,471.45,4.0,800.00,+0.86,0,TRAILING_SL,v3
2026-03-25 09:37:15,BULLISH,23221.95,,74700,CE,448.00,483.84,380.80,20,11,98560.00,,CLOSED,2026-03-25 09:43:09,489.20,41.2,9064.00,+9.20,5,TARGET_HIT,v3
