entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,exit_reason,type
2026-03-17 09:16:00.000000,BULLISH,75492.0,75500,75300,CE,763.5,839.85,496.275,496.275,20,6,91620.0,BSE_FO|852683,CLOSED,2026-03-17 09:40:00.000000,839.85,76.35,9162.0,10.0,TARGET_HIT,v4.2
2026-03-17 09:40:00.000000,BULLISH,75658.94,75700,75400,CE,767.55,844.305,498.9075,498.9075,20,6,92106.0,BSE_FO|855193,CLOSED,2026-03-17 09:58:00.000000,844.305,76.755,9210.6,10.0,TARGET_HIT,v4.2
2026-03-17 09:59:00.000000,BULLISH,75772.77,75800,75600,CE,703.45,773.795,457.2425,457.2425,20,7,98483.0,BSE_FO|855687,CLOSED,2026-03-17 10:12:00.000000,773.795,70.345,9848.3,10.0,TARGET_HIT,v4.2
2026-03-17 10:13:00.000000,BULLISH,75787.7,75800,75700,CE,655.4,720.94,426.01,426.01,20,7,91756.0,BSE_FO|853709,CLOSED,2026-03-17 10:17:00.000000,720.94,65.54,9175.6,10.0,TARGET_HIT,v4.2
2026-03-17 10:18:00.000000,BULLISH,75914.84,75900,75800,CE,648.35,713.185,421.4275,421.4275,20,7,90769.0,BSE_FO|851725,CLOSED,2026-03-17 10:22:00.000000,713.185,64.835,9076.9,10.0,TARGET_HIT,v4.2
2026-03-17 10:23:00.000000,BULLISH,75994.09,76000,75900,CE,658.2,724.02,427.83,427.83,20,7,92148.0,BSE_FO|854223,CLOSED,2026-03-17 11:20:00.000000,427.83,-230.37,-32251.8,-35.0,STOP_LOSS,v4.2
2026-03-17 11:20:00.000000,BEARISH,75577.0,75600,75700,PE,649.1,714.01,421.915,421.915,20,7,90874.0,BSE_FO|855433,CLOSED,2026-03-17 11:24:00.000000,714.01,64.91,9087.4,10.0,TARGET_HIT,v4.2
2026-03-17 11:25:00.000000,BEARISH,75431.04,75400,75600,PE,716.4,788.04,465.66,465.66,20,6,85968.0,BSE_FO|852914,CLOSED,2026-03-17 13:02:00.000000,465.66,-250.74,-30088.8,-35.0,STOP_LOSS,v4.2
2026-03-17 13:03:00.000000,BULLISH,75823.53,75800,75700,CE,632.9,696.19,411.385,411.385,20,7,88606.0,BSE_FO|853709,CLOSED,2026-03-17 13:15:00.000000,696.19,63.29,8860.6,10.0,TARGET_HIT,v4.2
2026-03-17 13:16:00.000000,BULLISH,75970.59,76000,75800,CE,642.5,706.75,417.625,417.625,20,7,89950.0,BSE_FO|851725,CLOSED,2026-03-17 13:31:00.000000,706.75,64.25,8995.0,10.0,TARGET_HIT,v4.2
2026-03-17 14:05:00.000000,BULLISH,75976.28,76000,75800,CE,621.05,683.155,403.6825,403.6825,20,8,99368.0,BSE_FO|851725,CLOSED,2026-03-17 14:10:00.000000,683.155,62.105,9936.8,10.0,TARGET_HIT,v4.2
2026-03-17 14:10:00.000000,BULLISH,76079.88,76100,75900,CE,641.7,705.87,417.105,417.105,20,7,89838.0,BSE_FO|854223,CLOSED,2026-03-17 14:58:00.000000,705.87,64.17,8983.8,10.0,TARGET_HIT,v4.2
2026-03-17 14:59:00.000000,BULLISH,76299.89,76300,76100,CE,594.55,654.005,386.4575,386.4575,20,8,95128.0,BSE_FO|848848,CLOSED,2026-03-17 15:00:00.000000,537.05,-57.5,-9200.0,-9.67118,EOD,v4.2
