entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,trailing_active,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-04-07 09:16:00.000000,BEARISH,73363.01,73400,73700,PE,1006.8,1087.344,855.78,855.78,False,20,4,80544.0,BSE_FO|866573,CLOSED,2026-04-07 09:22:00.000000,897.5,-109.3,-8744.0,-10.856178,6,TIME_EXIT,v4
2026-04-07 09:24:00.000000,BULLISH,73551.38,73600,73300,CE,985.5,1064.34,995.355,837.675,True,20,5,98550.0,BSE_FO|866132,CLOSED,2026-04-07 09:25:00.000000,995.355,9.855,985.5,1.0,1,TRAILING_SL,v4
2026-04-07 09:27:00.000000,BEARISH,73785.09,73800,74100,PE,1003.85,1084.158,853.2725,853.2725,False,20,4,80308.0,BSE_FO|866550,CLOSED,2026-04-07 09:33:00.000000,994.75,-9.1,-728.0,-0.90651,6,TIME_EXIT,v4
2026-04-07 09:37:00.000000,BEARISH,73764.76,73800,74100,PE,998.75,1078.65,1008.7375,848.9375,True,20,5,99875.0,BSE_FO|866550,CLOSED,2026-04-07 09:38:00.000000,1008.7375,9.9875,998.75,1.0,1,TRAILING_SL,v4
2026-04-07 09:40:00.000000,BEARISH,73739.71,73700,74000,PE,964.1,1041.228,973.741,819.485,True,20,5,96410.0,BSE_FO|866378,CLOSED,2026-04-07 09:43:00.000000,1041.228,77.128,7712.8,8.0,3,TARGET_HIT,v4
2026-04-07 09:43:00.000000,BEARISH,73535.55,73500,73800,PE,962.4,1039.392,818.04,818.04,False,20,5,96240.0,BSE_FO|866189,CLOSED,2026-04-07 09:49:00.000000,916.8,-45.6,-4560.0,-4.738155,6,TIME_EXIT,v4
2026-04-07 10:10:00.000000,BULLISH,73888.1,73900,73600,CE,1001.55,1081.674,1011.5655,851.3175,True,20,4,80124.0,BSE_FO|866598,CLOSED,2026-04-07 10:14:00.000000,1011.5655,10.0155,801.24,1.0,4,TRAILING_SL,v4
2026-04-07 10:31:00.000000,BULLISH,73988.91,74000,73700,CE,1000.5,1080.54,850.425,850.425,False,20,4,80040.0,BSE_FO|866205,CLOSED,2026-04-07 10:37:00.000000,947.45,-53.05,-4244.0,-5.302349,6,TIME_EXIT,v4
2026-04-07 11:01:00.000000,BEARISH,73710.22,73700,74000,PE,978.35,1056.618,831.5975,831.5975,False,20,5,97835.0,BSE_FO|866378,CLOSED,2026-04-07 11:07:00.000000,934.7,-43.65,-4365.0,-4.461593,6,TIME_EXIT,v4
2026-04-07 11:31:00.000000,BULLISH,73998.84,74000,73700,CE,1005.2,1085.616,854.42,854.42,False,20,4,80416.0,BSE_FO|866205,CLOSED,2026-04-07 11:37:00.000000,979.0,-26.2,-2096.0,-2.606446,6,TIME_EXIT,v4
2026-04-07 11:39:00.000000,BULLISH,74032.55,74000,73700,CE,1002.55,1082.754,852.1675,852.1675,False,20,4,80204.0,BSE_FO|866205,CLOSED,2026-04-07 11:45:00.000000,969.95,-32.6,-2608.0,-3.251708,6,TIME_EXIT,v4
2026-04-07 11:58:00.000000,BULLISH,74149.43,74100,73800,CE,1025.95,1108.026,872.0575,872.0575,False,20,4,82076.0,BSE_FO|866640,CLOSED,2026-04-07 12:04:00.000000,936.25,-89.7,-7176.0,-8.743116,6,TIME_EXIT,v4
2026-04-07 12:17:00.000000,BULLISH,74006.98,74000,73700,CE,989.95,1069.146,841.4575,841.4575,False,20,5,98995.0,BSE_FO|866205,CLOSED,2026-04-07 12:23:00.000000,940.55,-49.4,-4940.0,-4.990151,6,TIME_EXIT,v4
2026-04-07 12:25:00.000000,BEARISH,73942.1,73900,74200,PE,965.5,1042.74,820.675,820.675,False,20,5,96550.0,BSE_FO|866409,CLOSED,2026-04-07 12:31:00.000000,922.65,-42.85,-4285.0,-4.438115,6,TIME_EXIT,v4
2026-04-07 12:52:00.000000,BULLISH,73981.04,74000,73700,CE,982.25,1060.83,992.0725,834.9125,True,20,5,98225.0,BSE_FO|866205,CLOSED,2026-04-07 12:56:00.000000,992.0725,9.8225,982.25,1.0,4,TRAILING_SL,v4
