entry_time,sensex_signal,sensex_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,original_stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,exit_reason
2026-04-02 09:21:00.000000,BEARISH,71668.67,71700,72000,PE,481.75,529.925,313.1375,313.1375,20,10,96350.0,BSE_FO|877080,CLOSED,2026-04-02 10:00:00.000000,529.925,48.175,9635.0,10.0,TARGET_HIT
2026-04-02 10:00:00.000000,BEARISH,71632.39,71600,71700,PE,307.3,338.03,199.745,199.745,20,16,98336.0,BSE_FO|878344,CLOSED,2026-04-02 11:57:00.000000,199.745,-107.555,-34417.6,-35.0,STOP_LOSS
2026-04-02 12:07:00.000000,BULLISH,71738.08,71700,71500,CE,301.55,331.705,196.0075,196.0075,20,16,96496.0,BSE_FO|878041,CLOSED,2026-04-02 12:08:00.000000,331.705,30.155,9649.6,10.0,TARGET_HIT
2026-04-02 12:10:00.000000,BEARISH,71802.68,71800,72200,PE,505.35,555.885,328.4775,328.4775,20,9,90963.0,BSE_FO|877126,CLOSED,2026-04-02 12:21:00.000000,555.885,50.535,9096.3,10.0,TARGET_HIT
2026-04-02 12:23:00.000000,BEARISH,71769.21,71800,72000,PE,371.95,409.145,241.7675,241.7675,20,13,96707.0,BSE_FO|877080,CLOSED,2026-04-02 12:33:00.000000,241.7675,-130.1825,-33847.45,-35.0,STOP_LOSS
2026-04-02 12:34:00.000000,BULLISH,71967.85,72000,71600,CE,403.9,444.29,262.535,262.535,20,12,96936.0,BSE_FO|878383,CLOSED,2026-04-02 12:36:00.000000,444.29,40.39,9693.6,10.0,TARGET_HIT
2026-04-02 12:37:00.000000,BULLISH,72057.37,72100,72000,CE,228.25,251.075,148.3625,148.3625,20,21,95865.0,BSE_FO|876907,CLOSED,2026-04-02 12:38:00.000000,251.075,22.825,9586.5,10.0,TARGET_HIT
2026-04-02 12:45:00.000000,BULLISH,72086.86,72100,71600,CE,519.0,570.9,337.35,337.35,20,9,93420.0,BSE_FO|878383,CLOSED,2026-04-02 13:00:00.000000,570.9,51.9,9342.0,10.0,TARGET_HIT
2026-04-02 13:01:00.000000,BULLISH,72228.35,72200,72100,CE,247.35,272.085,160.7775,160.7775,20,20,98940.0,BSE_FO|877510,CLOSED,2026-04-02 13:06:00.000000,160.7775,-86.5725,-34629.0,-35.0,STOP_LOSS
2026-04-02 13:06:00.000000,BEARISH,72021.56,72000,72200,PE,300.2,330.22,195.13,195.13,20,16,96064.0,BSE_FO|877126,CLOSED,2026-04-02 13:07:00.000000,330.22,30.02,9606.4,10.0,TARGET_HIT
2026-04-02 13:14:00.000000,BEARISH,72112.34,72100,72200,PE,259.85,285.835,168.9025,168.9025,20,19,98743.0,BSE_FO|877126,CLOSED,2026-04-02 13:21:00.000000,168.9025,-90.9475,-34560.05,-35.0,STOP_LOSS
2026-04-02 13:25:00.000000,BULLISH,72296.34,72300,72200,CE,256.75,282.425,166.8875,166.8875,20,19,97565.0,BSE_FO|876950,CLOSED,2026-04-02 13:27:00.000000,282.425,25.675,9756.5,10.0,TARGET_HIT
2026-04-02 13:28:00.000000,BULLISH,72410.96,72400,72300,CE,255.95,281.545,166.3675,166.3675,20,19,97261.0,BSE_FO|877559,CLOSED,2026-04-02 13:29:00.000000,281.545,25.595,9726.1,10.0,TARGET_HIT
2026-04-02 13:31:00.000000,BULLISH,72466.95,72500,72400,CE,216.5,238.15,140.725,140.725,20,23,99590.0,BSE_FO|877010,CLOSED,2026-04-02 13:34:00.000000,238.15,21.65,9959.0,10.0,TARGET_HIT
2026-04-02 13:36:00.000000,BULLISH,72493.14,72500,72100,CE,441.25,485.375,286.8125,286.8125,20,11,97075.0,BSE_FO|877510,CLOSED,2026-04-02 13:37:00.000000,485.375,44.125,9707.5,10.0,TARGET_HIT
2026-04-02 13:39:00.000000,BULLISH,72589.0,72600,72500,CE,220.8,242.88,143.52,143.52,20,22,97152.0,BSE_FO|877597,CLOSED,2026-04-02 13:40:00.000000,242.88,22.08,9715.2,10.0,TARGET_HIT
2026-04-02 13:41:00.000000,BULLISH,72597.71,72600,72500,CE,216.55,238.205,140.7575,140.7575,20,23,99613.0,BSE_FO|877597,CLOSED,2026-04-02 13:42:00.000000,238.205,21.655,9961.3,10.0,TARGET_HIT
