entry_time,signal_type,entry_strike,option_type,kite_symbol,upstox_instrument_key,entry_price,quantity,lots,order_id,stop_loss,target,trading_mode,spot_at_entry,votes,exit_time,exit_price,exit_order_id,pnl_per_unit,total_pnl,pnl_pct,holding_minutes,exit_reason,status
2026-03-20 09:34:28.357865,BULLISH,23300.0,CE,NIFTY26MAR23300CE,NSE_FO|62588,250.65,195,3,260320190208152,150.39,270.65,LIVE,23313.05,3,2026-03-20 09:43:30.587581,221.3,260320190267226,-29.349999999999994,-5723.249999999999,-11.709555156592856,9,OI_REVERSAL,CLOSED
2026-03-20 09:49:32.974425,BEARISH,23250.0,PE,NIFTY26MAR23250PE,NSE_FO|62587,249.0,195,3,260320190300784,149.4,269.0,LIVE,23241.35,5,2026-03-20 10:18:54.555624,269.3,260320190420023,20.30000000000001,3958.5000000000023,8.152610441767074,29,TARGET,CLOSED
2026-03-20 10:43:50.018578,BULLISH,23300.0,CE,NIFTY26MAR23300CE,NSE_FO|62588,238.85,195,3,260320190509260,143.31,258.85,LIVE,23292.85,3,2026-03-20 11:07:55.331782,236.45,260320190589564,-2.4000000000000057,-468.00000000000114,-1.004814737282816,24,OI_REVERSAL,CLOSED
2026-03-20 11:22:59.909069,BULLISH,23350.0,CE,NIFTY26MAR23350CE,NSE_FO|62590,230.85,195,3,260320190639202,138.51,250.85,LIVE,23330.3,3,2026-03-20 11:47:09.867915,200.0,260320190709422,-30.849999999999994,-6015.749999999999,-13.363656053714532,24,OI_REVERSAL,CLOSED
2026-03-20 11:50:09.189828,BEARISH,23300.0,PE,NIFTY26MAR23300PE,NSE_FO|62589,238.25,195,3,260320190716707,142.95,258.25,LIVE,23287.35,3,2026-03-20 11:51:37.604401,259.4,260320190722595,21.149999999999977,4124.249999999995,8.87722980062958,1,TARGET,CLOSED
2026-03-20 12:11:13.753644,BEARISH,23250.0,PE,NIFTY26MAR23250PE,NSE_FO|62587,246.95,195,3,260320190791232,148.17,266.95,LIVE,23235.4,4,2026-03-20 12:18:34.401865,271.6,260320190812512,24.650000000000034,4806.750000000006,9.981777687791066,7,TARGET,CLOSED
2026-03-20 12:20:13.706720,BEARISH,23200.0,PE,NIFTY26MAR23200PE,NSE_FO|62581,259.1,130,2,260320190819910,155.46,279.1,LIVE,23183.25,2,2026-03-20 12:26:58.663881,280.25,260320190850440,21.149999999999977,2749.4999999999973,8.162871478193738,6,TARGET,CLOSED
2026-03-20 12:35:19.167313,BEARISH,23150.0,PE,NIFTY26MAR23150PE,NSE_FO|62579,248.15,195,3,260320190886379,148.89,268.15,LIVE,23168.35,2,2026-03-20 12:41:18.775587,234.15,260320190906122,-14.0,-2730.0,-5.641748942172073,5,OI_REVERSAL,CLOSED
2026-03-20 12:44:22.862780,BULLISH,23200.0,CE,NIFTY26MAR23200CE,NSE_FO|62580,254.6,195,3,260320190915840,152.76,274.6,LIVE,23210.75,3,2026-03-20 12:56:26.688984,266.0,260320190952504,11.400000000000006,2223.000000000001,4.47761194029851,12,OI_REVERSAL,CLOSED
2026-03-20 13:20:38.685490,BULLISH,23250.0,CE,NIFTY26MAR23250CE,NSE_FO|62582,237.0,195,3,260320191016837,142.2,257.0,LIVE,23234.0,3,2026-03-20 13:44:40.284678,238.4,260320191074648,1.4000000000000057,273.00000000000114,0.5907172995780615,24,OI_REVERSAL,CLOSED
