symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason
POLICYBZR,2026-02-04T09:34:53.412625,2026-02-04T09:47:02.060880,1447.9,1440.7,34,SHORT,244.80000000000155,0.4972719110435835,PROFIT_TRAILING_STOP_5MIN,12,0.8218799640859238,1441.2,1462.1,True,BEARISH,BEARISH,UNKNOWN
INFY,2026-02-04T09:26:42.630551,2026-02-04T10:03:40.384969,1562.5,1555.9,32,SHORT,211.1999999999971,0.4223999999999942,PROFIT_TRAILING_STOP_5MIN,36,0.6911999999999972,1555.2,1584.9,True,BEARISH,BEARISH,UNKNOWN
TECHM,2026-02-04T09:35:47.572542,2026-02-04T10:26:15.836991,1637.6,1623.4,30,SHORT,425.99999999999454,0.8671226184660368,PROFIT_TRAILING_STOP_5MIN,50,0.9709330727894396,1625.0,1656.0,True,BEARISH,BEARISH,UNKNOWN
PERSISTENT,2026-02-04T10:20:18.400768,2026-02-04T10:39:27.361072,5894.5,5871.0,8,SHORT,188.0,0.3986767325472898,PROFIT_TRAILING_STOP_5MIN,19,0.5683264059716685,5880.0,6060.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
NAUKRI,2026-02-04T09:41:13.406378,2026-02-04T10:45:28.097383,1191.8,1181.0,41,SHORT,442.79999999999814,0.906192314146665,PROFIT_TRAILING_STOP_5MIN,64,1.3005537841919785,1180.3,1231.1,True,STRONG_BEARISH,BEARISH,UNKNOWN
MANKIND,2026-02-04T10:36:12.737899,2026-02-04T10:48:23.297279,2076.2,2069.3,24,SHORT,165.59999999999127,0.33233792505537213,PROFIT_TRAILING_STOP_5MIN,12,0.6839418167806482,2070.7,2199.0,True,BEARISH,BEARISH,UNKNOWN
LTIM,2026-02-04T09:26:11.810392,2026-02-04T10:57:02.949703,5673.5,5629.5,8,SHORT,352.0,0.7755353838018859,PROFIT_TRAILING_STOP_5MIN,90,0.8372256984224904,5636.0,5800.0,True,BEARISH,BEARISH,UNKNOWN
MPHASIS,2026-02-04T10:32:28.604602,2026-02-04T11:21:37.901835,2646.7,2624.4,18,SHORT,401.3999999999951,0.8425586579514011,PROFIT_TRAILING_STOP_5MIN,49,1.1561567234669554,2624.4,2759.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
TATAELXSI,2026-02-04T09:27:40.416737,2026-02-04T11:40:14.069295,5340.5,5422.0,9,SHORT,-733.5,-1.5260743376088381,HARD_STOP_LOSS_915,132,0.25278531972661733,5420.0,5420.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
OFSS,2026-02-04T09:35:15.683160,2026-02-04T12:42:24.997643,7530.0,7504.0,6,SHORT,156.0,0.3452855245683931,PROFIT_TRAILING_STOP_5MIN,187,0.5511288180610889,7504.0,7690.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
