symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
OIL,2026-03-09T09:25:41.873800,2026-03-09T09:49:10.675985,477.5,479.6,104,SHORT,-218.40000000000236,-0.43979057591623516,PROFIT_TRAILING_STOP_5MIN,23,0.554973821989524,479.5,503.0,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
SBIN,2026-03-09T09:37:53.969554,2026-03-09T09:54:13.389110,1076.6,1079.6,46,SHORT,-138.0,-0.2786550250789523,PROFIT_TRAILING_STOP_5MIN,16,0.5665985509938612,1079.9,1115.0,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
MAZDOCK,2026-03-09T09:34:16.269336,2026-03-09T09:56:20.523740,2363.4,2366.4,21,SHORT,-63.0,-0.12693577050012692,PROFIT_TRAILING_STOP_5MIN,22,0.55005500550055,2366.0,2489.0,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
ONGC,2026-03-09T09:31:52.180560,2026-03-09T10:11:10.168069,280.8,276.4,178,SHORT,783.2000000000061,1.5669515669515792,PROFIT_TRAILING_STOP_5MIN,39,1.9586894586894585,277.0,289.0,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
POLYCAB,2026-03-09T09:58:52.566081,2026-03-09T10:21:09.430727,8237.5,8220.5,6,SHORT,102.0,0.20637329286798178,PROFIT_TRAILING_STOP_5MIN,22,0.503793626707132,8235.0,8455.0,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2026-03-09T09:26:10.408611,2026-03-09T10:21:26.975334,373.8,385.35,133,SHORT,-1536.1500000000015,-3.089887640449441,HARD_STOP_LOSS_915,55,0.0,385.25,385.25,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2026-03-09T09:59:55.992499,2026-03-09T10:22:08.835419,929.9,921.0,53,SHORT,471.6999999999988,0.9570921604473575,PROFIT_TRAILING_STOP_5MIN,22,1.064630605441443,923.25,948.3,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
MANKIND,2026-03-09T09:46:46.327216,2026-03-09T10:29:10.702578,2134.6,2113.7,23,SHORT,480.7000000000021,0.9791061557200456,PROFIT_TRAILING_STOP_5MIN,42,1.232080951934776,2114.0,2153.8,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
SOLARINDS,2026-03-09T09:48:13.363622,2026-03-09T10:42:08.486599,14873.0,14726.0,3,SHORT,441.0,0.9883681839575069,PROFIT_TRAILING_STOP_5MIN,53,0.9950917770456532,14750.0,15297.0,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
BDL,09:25,2026-03-09T14:59:34.332589,1303.7,1326.9,38,SHORT,-881.6,,EOD_EXIT,332,0.35284191148271354,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-8.82,CONFLUENCE_PAPER_BDL_1773028601,CONFLUENCE_PAPER_EXIT_BDL_1773048574,2026-03-09T14:59:34.703128,3.0,BDL,False,4.06,1300.0,2.5,-3.79,0.0,0.0,1310.3,1310.3,332.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
