symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number
SUNPHARMA,LONG,2026-04-27T09:43:06.014322,2026-04-27T15:00:08.856374,1715.5,1733.5,29,522.0,1.0492567764500145,EOD_EXIT,317,2.914602156805596,NORMAL_3RD_OI_WITH_STRONG_BULLISH,13,1
PIIND,LONG,2026-04-27T09:49:26.119380,2026-04-27T15:00:08.856796,3107.2,3090.0,16,-275.1999999999971,-0.5535530381050405,EOD_EXIT,310,0.4763130792996969,NORMAL_3RD_OI_WITH_STRONG_BULLISH,73,2
COALINDIA,LONG,2026-04-27T09:49:26.573604,2026-04-27T15:00:08.857149,456.95,453.0,109,-430.54999999999876,-0.8644271802166514,EOD_EXIT,310,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,65,3
INOXWIND,LONG,2026-04-27T09:57:29.662735,2026-04-27T15:00:08.857478,104.15,104.41,480,124.79999999999563,0.24963994239077378,EOD_EXIT,302,1.0369659145463257,NORMAL_3RD_OI_WITH_STRONG_BULLISH,85,4
KEI,LONG,2026-04-27T10:01:31.660548,2026-04-27T15:00:08.857831,4981.9,4910.1,10,-717.9999999999927,-1.4412172062867437,EOD_EXIT,298,0.4235331901483443,NORMAL_3RD_OI_WITH_STRONG_BULLISH,103,5
ADANIENSOL,LONG,2026-04-27T10:07:15.452256,2026-04-27T15:00:08.858171,1434.15,1444.0,34,334.8999999999969,0.6868179758044771,EOD_EXIT,292,1.2690443816894899,NORMAL_3RD_OI_WITH_STRONG_BULLISH,79,6
MARICO,LONG,2026-04-27T10:07:16.866600,2026-04-27T15:00:08.858551,787.4,789.0,63,100.80000000000143,0.2032004064008157,EOD_EXIT,292,0.7747015494031017,NORMAL_3RD_OI_WITH_STRONG_BULLISH,112,7
SONACOMS,LONG,2026-04-27T10:18:14.104349,2026-04-27T15:00:08.858919,582.45,591.6,85,777.7499999999981,1.5709502961627566,EOD_EXIT,281,1.6138724354021763,NORMAL_3RD_OI_WITH_STRONG_BULLISH,51,8
OFSS,LONG,2026-04-27T10:18:14.493561,2026-04-27T15:00:08.859850,9425.0,9390.0,5,-175.0,-0.3713527851458886,EOD_EXIT,281,0.6047745358090185,NORMAL_3RD_OI_WITH_STRONG_BULLISH,81,9
NTPC,LONG,2026-04-27T10:28:25.108353,2026-04-27T15:00:08.861720,409.0,410.45,122,176.8999999999986,0.3545232273838603,EOD_EXIT,271,1.2958435207823988,NORMAL_3RD_OI_WITH_STRONG_BULLISH,101,10
